
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,15,2012-12-23,27-071,ARI,,CHI,L 13-28,,11,19,57.89,105,0,1,51.4,5.53,3.16,0,0,,0
2,16,2012-12-30,27-078,ARI,@,SFO,L 13-27,*,19,34,55.88,225,1,1,73.8,6.62,5.88,1,6,6.00,0
,,2 Games,,,,,0-2-0,,30,53,56.60,330,1,2,65.8,6.23,4.91,1,6,6.00,0
