
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-244,ARI,,SEA,W 20-16,9,5,54,10.80,1,1,15,15.00,0,0,0,,0,1,6
2,2,2012-09-16,24-251,ARI,@,NWE,W 20-18,1,1,2,2.00,1,0,0,,0,0,0,,0,1,6
3,3,2012-09-23,24-258,ARI,,PHI,W 27-6,6,3,55,18.33,0,0,0,,0,0,0,,0,0,0
4,4,2012-09-30,24-265,ARI,,MIA,W 24-21,9,6,118,19.67,2,0,0,,0,0,0,,0,2,12
5,5,2012-10-04,24-269,ARI,@,STL,L 3-17,10,5,39,7.80,0,1,3,3.00,0,0,0,,0,0,0
6,6,2012-10-14,24-279,ARI,,BUF,L 16-19,6,2,18,9.00,0,0,0,,0,0,0,,0,0,0
7,7,2012-10-21,24-286,ARI,@,MIN,L 14-21,9,7,103,14.71,1,0,0,,0,0,0,,0,1,6
8,8,2012-10-29,24-294,ARI,,SFO,L 3-24,11,7,65,9.29,0,0,0,,0,0,0,,0,0,0
9,9,2012-11-04,24-300,ARI,@,GNB,L 17-31,7,4,86,21.50,0,0,0,,0,0,0,,0,0,0
10,10,2012-11-18,24-314,ARI,@,ATL,L 19-23,5,1,7,7.00,0,0,0,,0,1,10,10.00,0,0,0
11,11,2012-11-25,24-321,ARI,,STL,L 17-31,13,9,92,10.22,0,1,13,13.00,0,0,0,,0,0,0
12,13,2012-12-09,24-335,ARI,@,SEA,L 0-58,5,3,36,12.00,0,0,0,,0,0,0,,0,0,0
13,14,2012-12-16,24-342,ARI,,DET,W 38-10,5,3,22,7.33,0,0,0,,0,1,0,0.00,0,0,0
14,15,2012-12-23,24-349,ARI,,CHI,L 13-28,12,5,44,8.80,0,0,0,,0,0,0,,0,0,0
15,16,2012-12-30,24-356,ARI,@,SFO,L 13-27,6,3,18,6.00,0,1,-2,-2.00,0,1,5,5.00,0,0,0
,,15 Games,,,,,5-10-0,114,64,759,11.86,5,4,29,7.25,0,3,15,5.00,0,5,30
