
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2,2014-09-14,30-130,ARI,@,NYG,W 25-14,*,14,29,48.28,167,0,0,66.3,5.76,5.76,2,-2,-1.00,0,0.0,0,0
2,3,2014-09-21,30-137,ARI,,SFO,W 23-14,*,18,33,54.55,244,2,0,98.5,7.39,8.61,6,16,2.67,0,0.0,0,0
3,4,2014-10-05,30-151,ARI,@,DEN,L 20-41,*,11,26,42.31,118,0,0,56.2,4.54,4.54,0,0,,0,0.0,0,0
4,9,2014-11-09,30-186,ARI,,STL,W 31-14,,3,5,60.00,85,1,0,143.7,17.00,21.00,2,3,1.50,0,0.0,0,0
5,10,2014-11-16,30-193,ARI,,DET,W 14-6,*,21,32,65.63,306,2,2,91.4,9.56,8.00,4,-4,-1.00,0,0.0,1,0
6,11,2014-11-23,30-200,ARI,@,SEA,L 3-19,*,14,26,53.85,149,0,1,54.8,5.73,4.00,4,23,5.75,0,0.0,0,0
7,12,2014-11-30,30-207,ARI,@,ATL,L 18-29,*,24,39,61.54,294,1,2,72.0,7.54,5.74,1,7,7.00,0,0.0,0,0
8,13,2014-12-07,30-214,ARI,,KAN,W 17-14,*,15,30,50.00,239,1,0,88.1,7.97,8.63,4,17,4.25,0,0.0,0,0
9,14,2014-12-11,30-218,ARI,@,STL,W 12-6,*,12,20,60.00,109,0,0,74.8,5.45,5.45,2,3,1.50,0,0.0,0,0
,,9 Games,,,,,6-3-0,,132,240,55.00,1711,7,5,78.7,7.13,6.78,25,63,2.52,0,0.0,1,0
