
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2,2014-09-14,26-026,WAS,,JAX,W 41-10,,22,33,66.67,250,2,0,109.4,7.58,8.79,1,-1,-1.00,0
2,3,2014-09-21,26-033,WAS,@,PHI,L 34-37,*,30,48,62.50,427,3,1,103.4,8.90,9.21,3,5,1.67,0
3,4,2014-09-25,26-037,WAS,,NYG,L 14-45,*,19,33,57.58,257,1,4,53.0,7.79,2.94,1,12,12.00,0
4,5,2014-10-06,26-048,WAS,,SEA,L 17-27,*,21,36,58.33,283,2,0,102.0,7.86,8.97,2,4,2.00,0
5,6,2014-10-12,26-054,WAS,@,ARI,L 20-30,*,24,38,63.16,354,2,3,78.2,9.32,6.82,0,0,,0
6,7,2014-10-19,26-061,WAS,,TEN,W 19-17,*,10,16,62.50,139,0,1,64.3,8.69,5.88,0,0,,0
,,6 Games,,,,,2-4-0,,126,204,61.76,1710,10,9,86.4,8.38,7.38,7,20,2.86,0
