
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,27-032,WAS,,PHI,L 27-33,11,7,64,9.14,0,0,0,,0,0,0,0.0,1,0
2,2,2013-09-15,27-038,WAS,@,GNB,L 20-38,12,8,143,17.88,1,0,0,,0,1,6,0.0,0,0
3,3,2013-09-22,27-045,WAS,,DET,L 20-27,13,8,73,9.13,0,1,10,10.00,0,0,0,0.0,1,0
4,4,2013-09-29,27-052,WAS,@,OAK,W 24-14,7,6,59,9.83,1,0,0,,0,1,6,0.0,1,0
5,5,2013-10-13,27-066,WAS,@,DAL,L 16-31,15,6,69,11.50,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-20,27-073,WAS,,CHI,W 45-41,8,5,58,11.60,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-27,27-080,WAS,@,DEN,L 21-45,11,7,46,6.57,0,0,0,,0,0,0,0.0,2,0
8,8,2013-11-03,27-087,WAS,,SDG,W 30-24,11,7,172,24.57,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-07,27-091,WAS,@,MIN,L 27-34,10,7,119,17.00,1,0,0,,0,1,6,0.0,0,0
10,10,2013-11-17,27-101,WAS,@,PHI,L 16-24,10,6,68,11.33,0,1,9,9.00,0,0,0,0.0,0,0
11,11,2013-11-25,27-109,WAS,,SFO,L 6-27,11,8,48,6.00,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,27-115,WAS,,NYG,L 17-24,12,9,61,6.78,0,0,0,,0,0,0,0.0,1,0
13,13,2013-12-08,27-122,WAS,,KAN,L 10-45,12,5,37,7.40,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,27-129,WAS,@,ATL,L 26-27,10,7,129,18.43,1,0,0,,0,1,6,0.0,1,0
15,15,2013-12-22,27-136,WAS,,DAL,L 23-24,18,11,144,13.09,1,0,0,,0,1,6,0.0,0,0
16,16,2013-12-29,27-143,WAS,@,NYG,L 6-20,10,6,56,9.33,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,3-13-0,181,113,1346,11.91,5,2,19,9.50,0,5,30,0.0,7,0
