
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,32-102,WAS,,NYG,W 28-14,8,6,76,12.67,0,0,0,0.0,0,0
2,2,2011-09-18,32-109,WAS,,ARI,W 22-21,9,5,61,12.20,1,1,6,0.0,0,0
3,3,2011-09-26,32-117,WAS,@,DAL,L 16-18,8,5,70,14.00,0,0,0,0.0,0,0
4,4,2011-10-02,32-123,WAS,@,STL,W 17-10,10,5,39,7.80,1,1,6,0.0,0,0
5,5,2011-10-16,32-137,WAS,,PHI,L 13-20,6,2,38,19.00,0,0,0,0.0,0,0
6,6,2011-10-23,32-144,WAS,@,CAR,L 20-33,2,2,17,8.50,0,0,0,0.0,0,0
7,11,2011-11-27,32-179,WAS,@,SEA,W 23-17,7,4,29,7.25,0,0,0,0.0,1,0
8,12,2011-12-04,32-186,WAS,,NYJ,L 19-34,12,5,42,8.40,0,0,0,0.0,1,0
9,13,2011-12-11,32-193,WAS,,NWE,L 27-34,9,3,81,27.00,1,1,6,0.0,0,0
10,14,2011-12-18,32-200,WAS,@,NYG,W 23-10,5,2,40,20.00,1,1,6,0.0,1,0
11,15,2011-12-24,32-206,WAS,,MIN,L 26-33,10,4,46,11.50,0,0,0,0.0,1,0
12,16,2012-01-01,32-214,WAS,@,PHI,L 10-34,9,3,45,15.00,0,0,0,0.0,0,0
,,12 Games,,,,,5-7-0,95,46,584,12.70,4,4,24,0.0,4,0
