
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,7,2013-10-27,25-069,WAS,@,DEN,L 21-45,,5,9,55.56,48,0,2,31.0,5.33,-4.67,1,1,1.00,0
2,13,2013-12-08,25-111,WAS,,KAN,L 10-45,,7,16,43.75,59,0,0,53.9,3.69,3.69,0,0,,0
3,14,2013-12-15,25-118,WAS,@,ATL,L 26-27,*,29,45,64.44,381,3,2,94.8,8.47,7.80,0,0,,0
4,15,2013-12-22,25-125,WAS,,DAL,L 23-24,*,21,36,58.33,197,1,1,71.2,5.47,4.78,2,10,5.00,0
5,16,2013-12-29,25-132,WAS,@,NYG,L 6-20,*,19,49,38.78,169,0,2,31.8,3.45,1.61,1,3,3.00,0
,,5 Games,,,,,0-5-0,,81,155,52.26,854,4,7,58.4,5.51,3.99,4,14,3.50,0
