
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,24-271,WAS,,PHI,L 27-33,12,45,3.75,1,1,1,9,9.00,0,1,6,0.0,0,0
2,2,2013-09-15,24-277,WAS,@,GNB,L 20-38,13,107,8.23,0,2,2,13,6.50,0,0,0,0.0,0,0
3,3,2013-09-22,24-284,WAS,,DET,L 20-27,15,73,4.87,1,1,0,0,,0,1,6,0.0,0,0
4,4,2013-09-29,24-291,WAS,@,OAK,W 24-14,16,71,4.44,0,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-13,24-305,WAS,@,DAL,L 16-31,16,81,5.06,1,1,0,0,,0,1,6,0.0,0,0
6,6,2013-10-20,24-312,WAS,,CHI,W 45-41,19,95,5.00,0,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-27,24-319,WAS,@,DEN,L 21-45,17,93,5.47,1,0,0,0,,0,1,6,0.0,0,0
8,8,2013-11-03,24-326,WAS,,SDG,W 30-24,25,121,4.84,1,0,0,0,,0,1,6,0.0,0,0
9,9,2013-11-07,24-330,WAS,@,MIN,L 27-34,26,139,5.35,0,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,24-340,WAS,@,PHI,L 16-24,22,93,4.23,0,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-25,24-348,WAS,,SFO,L 6-27,14,52,3.71,0,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,24-354,WAS,,NYG,L 17-24,11,26,2.36,1,3,3,27,9.00,0,1,6,0.0,0,0
13,13,2013-12-08,24-361,WAS,,KAN,L 10-45,12,31,2.58,0,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,25-003,WAS,@,ATL,L 26-27,18,98,5.44,0,1,1,8,8.00,0,0,0,0.0,1,0
15,15,2013-12-22,25-010,WAS,,DAL,L 23-24,24,88,3.67,1,1,0,0,,0,1,6,0.0,0,0
16,16,2013-12-29,25-017,WAS,@,NYG,L 6-20,16,62,3.88,0,2,2,21,10.50,0,0,0,0.0,0,0
,,16 Games,,,,,3-13-0,276,1275,4.62,7,12,9,78,8.67,0,7,42,0.0,1,0
