
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,7,2014-10-19,27-044,WAS,,TEN,W 19-17,,11,12,91.67,128,1,0,138.9,10.67,12.33,2,3,1.50,0,0,0
2,8,2014-10-27,27-052,WAS,@,DAL,W 20-17,*,25,30,83.33,299,0,1,94.3,9.97,8.47,7,16,2.29,1,1,6
3,12,2014-11-30,27-086,WAS,@,IND,L 27-49,*,31,47,65.96,392,3,0,113.1,8.34,9.62,3,12,4.00,0,0,0
4,13,2014-12-07,27-093,WAS,,STL,L 0-24,*,20,32,62.50,199,0,2,54.0,6.22,3.41,2,11,5.50,0,0,0
5,14,2014-12-14,27-100,WAS,@,NYG,L 13-24,*,4,7,57.14,39,0,0,72.9,5.57,5.57,2,24,12.00,0,0,0
,,5 Games,,,,,2-3-0,,91,128,71.09,1057,4,3,96.4,8.26,7.83,16,66,4.13,1,1,6
