
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,33-058,HOU,,WAS,W 17-6,9,6,93,15.50,0,0,0,0.0,0,0
2,2,2014-09-14,33-065,HOU,@,OAK,W 30-14,7,6,74,12.33,0,0,0,0.0,0,0
3,3,2014-09-21,33-072,HOU,@,NYG,L 17-30,11,4,24,6.00,0,0,0,0.0,0,0
4,4,2014-09-28,33-079,HOU,,BUF,W 23-17,7,6,71,11.83,0,0,0,0.0,1,0
5,5,2014-10-05,33-086,HOU,@,DAL,L 17-20,8,5,58,11.60,0,0,0,0.0,0,0
6,6,2014-10-09,33-090,HOU,,IND,L 28-33,12,7,99,14.14,1,1,6,0.0,1,0
7,7,2014-10-20,33-101,HOU,@,PIT,L 23-30,9,5,77,15.40,0,0,0,0.0,1,0
8,8,2014-10-26,33-107,HOU,@,TEN,W 30-16,12,7,55,7.86,0,0,0,0.0,0,0
9,9,2014-11-02,33-114,HOU,,PHI,L 21-31,7,2,12,6.00,0,0,0,0.0,0,0
10,10,2014-11-16,33-128,HOU,@,CLE,W 23-7,9,7,68,9.71,0,0,0,0.0,0,0
11,11,2014-11-23,33-135,HOU,,CIN,L 13-22,12,3,36,12.00,0,0,0,0.0,0,0
12,12,2014-11-30,33-142,HOU,,TEN,W 45-21,11,7,53,7.57,1,1,6,0.0,0,0
13,13,2014-12-07,33-149,HOU,@,JAX,W 27-13,4,4,17,4.25,0,0,0,0.0,0,0
14,15,2014-12-21,33-163,HOU,,BAL,W 25-13,13,6,65,10.83,0,0,0,0.0,1,0
15,16,2014-12-28,33-170,HOU,,JAX,W 23-17,15,10,134,13.40,1,1,6,0.0,0,0
,,15 Games,,,,,9-6-0,146,85,936,11.01,3,3,18,0.0,4,0
