
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,11,2011-11-27,24-183,HOU,@,JAX,W 20-13,,8,15,53.33,70,0,0,66.0,4.67,4.67,4,-3,-0.75,0,0.0,0,0
2,12,2011-12-04,24-190,HOU,,ATL,W 17-10,*,12,25,48.00,188,1,0,86.7,7.52,8.32,2,10,5.00,0,0.0,0,0
3,13,2011-12-11,24-197,HOU,@,CIN,W 20-19,*,26,44,59.09,300,2,1,85.4,6.82,6.70,5,36,7.20,0,0.0,0,0
4,14,2011-12-18,24-204,HOU,,CAR,L 13-28,*,19,30,63.33,212,0,2,56.5,7.07,4.07,2,15,7.50,0,0.0,1,0
5,15,2011-12-22,24-208,HOU,@,IND,L 16-19,*,13,16,81.25,132,0,0,101.0,8.25,8.25,1,-1,-1.00,0,0.0,0,0
6,16,2012-01-01,24-218,HOU,,TEN,L 22-23,*,4,4,100.00,47,0,0,115.6,11.75,11.75,0,0,,0,0.0,0,0
,,6 Games,,,,,3-3-0,,82,134,61.19,949,3,3,80.7,7.08,6.52,14,57,4.07,0,0.0,1,0
