
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,15,2014-12-21,26-307,HOU,,BAL,W 25-13,*,20,42,47.62,185,0,1,50.2,4.40,3.33,4,19,4.75,0
2,16,2014-12-28,26-314,HOU,,JAX,W 23-17,*,25,35,71.43,250,2,1,98.5,7.14,7.00,6,16,2.67,0
,,2 Games,,,,,2-0-0,,45,77,58.44,435,2,2,72.2,5.65,5.00,10,35,3.50,0
