
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,10,2011-11-13,28-186,HOU,@,TAM,W 37-9,,0,0,,0,0,0,,,,1,-1,-1.00,0
2,11,2011-11-27,28-200,HOU,@,JAX,W 20-13,*,10,13,76.92,57,1,0,110.1,4.38,5.92,0,0,,0
,,2 Games,,,,,2-0-0,,10,13,76.92,57,1,0,110.1,4.38,5.92,1,-1,-1.00,0
