
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-09,32-076,HOU,@,SDG,W 31-28,*,34,45,75.56,346,3,1,110.0,7.69,8.02,0,0,,0
2,2,2013-09-15,32-082,HOU,,TEN,W 30-24,*,26,48,54.17,298,3,2,76.6,6.21,5.58,0,0,,0
3,3,2013-09-22,32-089,HOU,@,BAL,L 9-30,*,25,35,71.43,194,0,1,72.8,5.54,4.26,0,0,,0
4,4,2013-09-29,32-096,HOU,,SEA,L 20-23,*,31,49,63.27,355,2,2,81.6,7.24,6.22,1,5,5.00,0
5,5,2013-10-06,32-103,HOU,@,SFO,L 3-34,*,19,35,54.29,173,0,3,32.2,4.94,1.09,0,0,,0
6,6,2013-10-13,32-110,HOU,,STL,L 13-38,*,15,21,71.43,186,0,0,98.5,8.86,8.86,0,0,,0
7,10,2013-11-17,32-145,HOU,,OAK,L 23-28,,12,25,48.00,155,0,0,67.9,6.20,6.20,0,0,,0
8,13,2013-12-05,32-163,HOU,@,JAX,L 20-27,,17,29,58.62,198,1,1,76.5,6.83,5.97,1,7,7.00,0
9,15,2013-12-22,32-180,HOU,,DEN,L 13-37,*,18,37,48.65,176,1,2,48.9,4.76,2.86,1,5,5.00,0
10,16,2013-12-29,32-187,HOU,@,TEN,L 10-16,*,22,34,64.71,229,0,2,59.6,6.74,4.09,2,7,3.50,0
,,10 Games,,,,,2-8-0,,219,358,61.17,2310,10,14,73.0,6.45,5.25,5,24,4.80,0
