
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2,2011-09-18,25-025,HOU,@,MIA,W 23-13,10,33,3.30,0,2,2,7,3.50,0,0,0,0.0,0,0
2,4,2011-10-02,25-039,HOU,,PIT,W 17-10,30,155,5.17,1,5,3,11,3.67,0,1,6,0.0,0,0
3,5,2011-10-09,25-046,HOU,,OAK,L 20-25,22,68,3.09,0,7,5,116,23.20,0,0,0,0.0,0,0
4,6,2011-10-16,25-053,HOU,@,BAL,L 14-29,15,49,3.27,0,11,6,52,8.67,0,0,0,0.0,0,0
5,7,2011-10-23,25-060,HOU,@,TEN,W 41-7,25,115,4.60,2,5,5,119,23.80,1,3,18,0.0,0,0
6,8,2011-10-30,25-067,HOU,,JAX,W 24-14,33,112,3.39,1,4,1,12,12.00,0,1,6,0.0,1,0
7,9,2011-11-06,25-074,HOU,,CLE,W 30-12,19,124,6.53,1,7,5,26,5.20,0,1,6,0.0,1,0
8,10,2011-11-13,25-081,HOU,@,TAM,W 37-9,17,84,4.94,1,4,4,102,25.50,1,2,12,0.0,0,0
9,11,2011-11-27,25-095,HOU,@,JAX,W 20-13,22,65,2.95,1,9,7,24,3.43,0,1,6,0.0,0,0
10,12,2011-12-04,25-102,HOU,,ATL,W 17-10,31,111,3.58,1,4,3,41,13.67,0,1,6,0.0,0,0
11,13,2011-12-11,25-109,HOU,@,CIN,W 20-19,15,41,2.73,0,5,4,33,8.25,0,0,0,0.0,0,0
12,14,2011-12-18,25-116,HOU,,CAR,L 13-28,16,109,6.81,1,6,5,58,11.60,0,1,6,0.0,1,0
13,15,2011-12-22,25-120,HOU,@,IND,L 16-19,23,158,6.87,1,3,3,16,5.33,0,1,6,0.0,0,0
,,13 Games,,,,,9-4-0,278,1224,4.40,10,72,53,617,11.64,2,12,72,0.0,3,0
