
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2014-09-07,31-287,HOU,,WAS,W 17-6,*,14,22,63.64,206,1,0,109.3,9.36,10.27,5,10,2.00,0,0,0
2,2,2014-09-14,31-294,HOU,@,OAK,W 30-14,*,14,19,73.68,139,2,0,129.1,7.32,9.42,0,0,,0,0,0
3,3,2014-09-21,31-301,HOU,@,NYG,L 17-30,*,20,34,58.82,289,1,3,59.6,8.50,5.12,7,34,4.86,1,1,6
4,4,2014-09-28,31-308,HOU,,BUF,W 23-17,*,25,37,67.57,268,1,2,75.1,7.24,5.35,5,14,2.80,0,0,0
5,5,2014-10-05,31-315,HOU,@,DAL,L 17-20,*,16,25,64.00,154,0,1,64.4,6.16,4.36,3,3,1.00,0,0,0
6,6,2014-10-09,31-319,HOU,,IND,L 28-33,*,15,23,65.22,212,1,0,109.3,9.22,10.09,1,5,5.00,0,0,0
7,7,2014-10-20,31-330,HOU,@,PIT,L 23-30,*,21,32,65.63,262,2,1,98.7,8.19,8.03,5,16,3.20,0,0,0
8,8,2014-10-26,31-336,HOU,@,TEN,W 30-16,*,19,35,54.29,227,1,0,83.9,6.49,7.06,4,12,3.00,0,0,0
9,9,2014-11-02,31-343,HOU,,PHI,L 21-31,*,13,27,48.15,203,2,1,82.8,7.52,7.33,6,49,8.17,0,0,0
10,12,2014-11-30,32-006,HOU,,TEN,W 45-21,*,24,33,72.73,358,6,0,147.5,10.85,14.48,2,10,5.00,0,0,0
11,13,2014-12-07,32-013,HOU,@,JAX,W 27-13,*,13,19,68.42,135,0,0,88.7,7.11,7.11,9,15,1.67,1,1,6
12,14,2014-12-14,32-020,HOU,@,IND,L 10-17,*,3,6,50.00,30,0,0,64.6,5.00,5.00,3,16,5.33,0,0,0
,,12 Games,,,,,6-6-0,,197,312,63.14,2483,17,8,95.3,7.96,7.89,50,184,3.68,2,2,12
