
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,25-019,HOU,@,SDG,W 31-28,9,55,6.11,0,2,2,7,3.50,0,0,0,0.0,0,0
2,2,2013-09-15,25-025,HOU,,TEN,W 30-24,9,93,10.33,0,4,3,8,2.67,0,0,0,0.0,0,0
3,3,2013-09-22,25-032,HOU,@,BAL,L 9-30,9,36,4.00,0,4,3,7,2.33,0,0,0,0.0,0,0
4,4,2013-09-29,25-039,HOU,,SEA,L 20-23,7,44,6.29,0,1,1,1,1.00,0,0,0,0.0,1,0
5,5,2013-10-06,25-046,HOU,@,SFO,L 3-34,7,28,4.00,0,2,2,12,6.00,0,0,0,0.0,0,0
6,6,2013-10-13,25-053,HOU,,STL,L 13-38,10,12,1.20,1,4,3,16,5.33,0,1,6,0.0,0,0
7,7,2013-10-20,25-060,HOU,@,KAN,L 16-17,15,50,3.33,0,3,2,5,2.50,0,0,0,0.0,0,0
8,8,2013-11-03,25-074,HOU,,IND,L 24-27,22,81,3.68,0,2,1,-2,-2.00,0,0,0,0.0,0,0
9,9,2013-11-10,25-081,HOU,@,ARI,L 24-27,15,56,3.73,0,5,3,8,2.67,0,0,0,0.0,0,0
10,10,2013-11-17,25-088,HOU,,OAK,L 23-28,19,88,4.63,0,6,4,29,7.25,0,0,0,0.0,1,0
11,11,2013-11-24,25-095,HOU,,JAX,L 6-13,7,1,0.14,0,6,5,26,5.20,0,0,0,0.0,0,0
12,12,2013-12-01,25-102,HOU,,NWE,L 31-34,22,102,4.64,3,0,0,0,,0,3,18,0.0,0,0
13,13,2013-12-05,25-106,HOU,@,JAX,L 20-27,14,53,3.79,0,4,2,3,1.50,0,0,0,0.0,0,0
14,14,2013-12-15,25-116,HOU,@,IND,L 3-25,16,72,4.50,0,6,3,20,6.67,0,0,0,0.0,0,0
,,14 Games,,,,,2-12-0,181,771,4.26,4,49,34,140,4.12,0,4,24,0.0,2,0
