
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2,2014-09-14,26-101,HOU,@,OAK,W 30-14,,0,0,,0,0,0,,,,1,-1,-1.00,0
2,10,2014-11-16,26-164,HOU,@,CLE,W 23-7,*,20,30,66.67,211,2,1,95.3,7.03,6.87,4,-3,-0.75,0
3,11,2014-11-23,26-171,HOU,,CIN,L 13-22,*,21,45,46.67,189,0,1,49.2,4.20,3.20,1,2,2.00,0
,,3 Games,,,,,2-1-0,,41,75,54.67,400,2,2,67.6,5.33,4.67,6,-2,-0.33,0
