
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,30-237,TAM,@,NYJ,L 17-18,13,7,154,22.00,0,0,0,,0,0,0,0.0,1,0
2,2,2013-09-15,30-244,TAM,,NOR,L 14-16,11,5,77,15.40,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-22,30-251,TAM,@,NWE,L 3-23,6,3,34,11.33,0,0,0,,0,0,0,0.0,1,0
4,4,2013-09-29,30-258,TAM,,ARI,L 10-13,11,2,27,13.50,0,0,0,,0,0,0,0.0,1,0
5,5,2013-10-13,30-272,TAM,,PHI,L 20-31,14,9,114,12.67,2,0,0,,0,2,12,0.0,0,0
6,6,2013-10-20,30-279,TAM,@,ATL,L 23-31,22,10,138,13.80,2,0,0,,0,2,12,0.0,0,0
7,7,2013-10-24,30-283,TAM,,CAR,L 13-31,13,5,79,15.80,0,0,0,,0,0,0,0.0,0,0
8,8,2013-11-03,30-293,TAM,@,SEA,L 24-27,4,2,11,5.50,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-11,30-301,TAM,,MIA,W 22-19,8,3,28,9.33,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,30-307,TAM,,ATL,W 41-28,12,10,165,16.50,1,0,0,,0,1,6,0.0,0,0
11,11,2013-11-24,30-314,TAM,@,DET,W 24-21,3,2,61,30.50,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,30-321,TAM,@,CAR,L 6-27,5,3,75,25.00,0,1,0,0.00,0,0,0,0.0,1,0
13,13,2013-12-08,30-328,TAM,,BUF,W 27-6,8,3,70,23.33,1,0,0,,0,1,6,0.0,1,0
14,14,2013-12-15,30-335,TAM,,SFO,L 14-33,8,5,58,11.60,1,0,0,,0,1,6,0.0,0,0
15,15,2013-12-22,30-342,TAM,@,STL,L 13-23,10,5,98,19.60,0,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,30-349,TAM,@,NOR,L 17-42,12,4,35,8.75,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,160,78,1224,15.69,7,1,0,0.00,0,7,42,0.0,5,0
