
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,22-011,TAM,,DET,L 20-27,2,2,14,7.00,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,22-018,TAM,@,MIN,W 24-20,4,4,42,10.50,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,22-025,TAM,,ATL,W 16-13,,,,,,,,,,,,,,
4,4,2011-10-03,22-033,TAM,,IND,W 24-17,0,,,,,,,,,,,,,
5,5,2011-10-09,22-039,TAM,@,SFO,L 3-48,2,2,18,9.00,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,22-046,TAM,,NOR,W 26-20,2,2,49,24.50,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-23,22-053,TAM,,CHI,L 18-24,10,6,73,12.17,1,0,0,,0,1,6,0.0,0,0
8,8,2011-11-06,22-067,TAM,@,NOR,L 16-27,2,1,46,46.00,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,22-074,TAM,,HOU,L 9-37,2,0,0,,0,1,12,12.00,0,0,0,0.0,0,0
10,10,2011-11-20,22-081,TAM,@,GNB,L 26-35,3,2,7,3.50,1,0,0,,0,1,6,0.0,0,0
11,11,2011-11-27,22-088,TAM,@,TEN,L 17-23,,,,,,,,,,,,,,
12,12,2011-12-04,22-095,TAM,,CAR,L 19-38,2,1,23,23.00,1,0,0,,0,1,6,0.0,0,0
13,13,2011-12-11,22-102,TAM,@,JAX,L 14-41,7,3,20,6.67,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-17,22-108,TAM,,DAL,L 15-31,3,3,36,12.00,1,0,0,,0,1,6,0.0,0,0
15,15,2011-12-24,22-115,TAM,@,CAR,L 16-48,1,1,6,6.00,0,0,0,,0,0,0,0.0,1,0
16,16,2012-01-01,22-123,TAM,@,ATL,L 24-45,11,8,53,6.63,2,0,0,,0,2,12,0.0,2,0
,,16 Games,,,,,4-12-0,51,35,387,11.06,6,1,12,12.00,0,6,36,0.0,3,0
