
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,25-237,TAM,,CAR,L 14-20,9,9,1.00,0,2,1,7,7.00,0,0,0
2,4,2014-09-28,25-258,TAM,@,PIT,W 27-24,13,40,3.08,1,2,2,16,8.00,0,1,6
3,5,2014-10-05,25-265,TAM,@,NOR,L 31-37,14,45,3.21,0,5,3,29,9.67,0,0,0
4,6,2014-10-12,25-272,TAM,,BAL,L 17-48,11,45,4.09,0,2,1,3,3.00,0,0,0
5,7,2014-10-26,25-286,TAM,,MIN,L 13-19,10,27,2.70,0,2,2,-1,-0.50,0,0,0
6,11,2014-11-23,25-314,TAM,@,CHI,L 13-21,11,27,2.45,0,3,1,4,4.00,0,0,0
7,12,2014-11-30,25-321,TAM,,CIN,L 13-14,18,58,3.22,1,1,1,3,3.00,0,1,6
8,13,2014-12-07,25-328,TAM,@,DET,L 17-34,5,22,4.40,0,1,1,0,0.00,0,0,0
9,14,2014-12-14,25-335,TAM,@,CAR,L 17-19,14,96,6.86,0,1,1,3,3.00,0,0,0
10,15,2014-12-21,25-342,TAM,,GNB,L 3-20,10,17,1.70,0,1,0,0,,0,0,0
11,16,2014-12-28,25-349,TAM,,NOR,L 20-23,19,108,5.68,0,0,0,0,,0,0,0
,,11 Games,,,,,1-10-0,134,494,3.69,2,20,13,64,4.92,0,2,12
