
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,31-236,TAM,,CAR,L 14-20,9,4,36,9.00,0,0,0,0.0,0,0
2,2,2014-09-14,31-243,TAM,,STL,L 17-19,7,4,51,12.75,0,0,0,0.0,1,0
3,3,2014-09-18,31-247,TAM,@,ATL,L 14-56,9,2,15,7.50,1,1,6,0.0,0,0
4,4,2014-09-28,31-257,TAM,@,PIT,W 27-24,10,3,32,10.67,1,1,6,0.0,0,0
5,5,2014-10-05,31-264,TAM,@,NOR,L 31-37,12,8,144,18.00,0,0,0,0.0,0,0
6,6,2014-10-12,31-271,TAM,,BAL,L 17-48,13,4,66,16.50,0,0,0,0.0,0,0
7,7,2014-10-26,31-285,TAM,,MIN,L 13-19,5,1,13,13.00,0,0,0,0.0,0,0
8,8,2014-11-02,31-292,TAM,@,CLE,L 17-22,12,6,86,14.33,0,0,0,0.0,1,0
9,9,2014-11-09,31-299,TAM,,ATL,L 17-27,13,8,75,9.38,0,0,0,0.0,1,0
10,10,2014-11-16,31-306,TAM,@,WAS,W 27-7,4,3,43,14.33,0,0,0,0.0,0,0
11,11,2014-11-23,31-313,TAM,@,CHI,L 13-21,9,5,117,23.40,0,0,0,0.0,0,0
12,12,2014-11-30,31-320,TAM,,CIN,L 13-14,4,2,24,12.00,0,0,0,0.0,1,0
13,13,2014-12-07,31-327,TAM,@,DET,L 17-34,17,10,159,15.90,0,0,0,0.0,0,0
14,14,2014-12-14,31-334,TAM,@,CAR,L 17-19,10,6,70,11.67,0,0,0,0.0,0,0
15,15,2014-12-21,31-341,TAM,,GNB,L 3-20,6,3,60,20.00,0,0,0,0.0,0,0
16,16,2014-12-28,31-348,TAM,,NOR,L 20-23,2,1,11,11.00,0,0,0,0.0,0,0
,,16 Games,,,,,2-14-0,142,70,1002,14.31,2,2,12,0.0,4,0
