
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-241,TAM,,DET,L 20-27,*,28,43,65.12,259,1,1,79.5,6.02,5.44,4,26,6.50,0,1,0,-4,,0,0,0,0.0,0,0
2,2,2011-09-18,23-248,TAM,@,MIN,W 24-20,*,22,31,70.97,243,1,1,91.2,7.84,7.03,3,16,5.33,0,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,23-255,TAM,,ATL,W 16-13,*,22,32,68.75,180,0,2,56.8,5.63,2.81,10,35,3.50,1,0,0,0,,0,1,6,0.0,0,0
4,4,2011-10-03,23-263,TAM,,IND,W 24-17,*,25,39,64.10,287,1,0,94.7,7.36,7.87,6,27,4.50,1,0,0,0,,0,1,6,0.0,0,0
5,5,2011-10-09,23-269,TAM,@,SFO,L 3-48,*,17,33,51.52,187,0,2,43.4,5.67,2.94,1,2,2.00,0,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,23-276,TAM,,NOR,W 26-20,*,23,41,56.10,303,2,0,95.9,7.39,8.37,4,3,0.75,0,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-23,23-283,TAM,,CHI,L 18-24,*,29,51,56.86,264,2,4,51.4,5.18,2.43,0,0,,0,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,23-297,TAM,@,NOR,L 16-27,*,27,37,72.97,281,1,0,103.5,7.59,8.14,3,8,2.67,0,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,23-304,TAM,,HOU,L 9-37,*,15,33,45.45,170,1,3,33.6,5.15,1.67,3,25,8.33,0,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,23-311,TAM,@,GNB,L 26-35,*,28,38,73.68,342,2,2,96.6,9.00,7.68,1,5,5.00,0,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,23-318,TAM,@,TEN,L 17-23,*,18,33,54.55,199,1,1,70.1,6.03,5.27,3,10,3.33,0,0,0,0,,0,0,0,0.0,1,0
12,13,2011-12-11,23-332,TAM,@,JAX,L 14-41,*,16,30,53.33,181,0,2,43.9,6.03,3.03,4,26,6.50,1,0,0,0,,0,1,6,0.0,0,0
13,14,2011-12-17,23-338,TAM,,DAL,L 15-31,*,17,27,62.96,148,1,0,89.7,5.48,6.22,4,37,9.25,0,0,0,0,,0,0,0,0.0,0,0
14,15,2011-12-24,23-345,TAM,@,CAR,L 16-48,*,28,38,73.68,274,1,1,91.3,7.21,6.55,6,4,0.67,1,0,0,0,,0,1,6,0.0,1,0
15,16,2012-01-01,23-353,TAM,@,ATL,L 24-45,*,31,45,68.89,274,2,3,71.9,6.09,3.98,3,14,4.67,0,0,0,0,,0,0,0,0.0,1,0
,,15 Games,,,,,4-11-0,,346,551,62.79,3592,16,22,74.6,6.52,5.30,55,238,4.33,4,1,0,-4,,0,4,24,0.0,3,0
