
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2011-09-11,25-119,TAM,,DET,L 20-27,,1,3,33.33,7,0,0,42.4,2.33,2.33,1,2,2.00,0
2,4,2011-10-03,25-141,TAM,,IND,W 24-17,,0,0,,0,0,0,,,,1,8,8.00,0
3,5,2011-10-09,25-147,TAM,@,SFO,L 3-48,,1,2,50.00,7,0,0,58.3,3.50,3.50,0,0,,0
4,8,2011-11-06,25-175,TAM,@,NOR,L 16-27,,0,0,,0,0,0,,,,1,1,1.00,0
5,9,2011-11-13,25-182,TAM,,HOU,L 9-37,,0,2,0.00,0,0,0,39.6,0.00,0.00,1,0,0.00,0
6,11,2011-11-27,25-196,TAM,@,TEN,L 17-23,,0,0,,0,0,0,,,,1,6,6.00,0
7,12,2011-12-04,25-203,TAM,,CAR,L 19-38,*,16,27,59.26,229,1,1,83.7,8.48,7.56,5,45,9.00,0
8,13,2011-12-11,25-210,TAM,@,JAX,L 14-41,,1,2,50.00,3,0,1,16.7,1.50,-21.00,0,0,,0
9,16,2012-01-01,25-231,TAM,@,ATL,L 24-45,,0,0,,0,0,0,,,,1,5,5.00,0
,,9 Games,,,,,1-8-0,,19,36,52.78,246,1,2,60.6,6.83,4.89,11,67,6.09,0
