
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,23-240,TAM,,CAR,W 16-10,24,95,3.96,0,4,4,23,5.75,0,0,0
2,2,2012-09-16,23-247,TAM,@,NYG,L 34-41,20,66,3.30,1,3,0,0,,0,1,6
3,3,2012-09-23,23-254,TAM,@,DAL,L 10-16,19,53,2.79,0,3,2,21,10.50,0,0,0
4,4,2012-09-30,23-261,TAM,,WAS,L 22-24,8,33,4.13,0,5,2,9,4.50,0,0,0
5,5,2012-10-14,23-275,TAM,,KAN,W 38-10,13,76,5.85,0,4,2,55,27.50,0,0,0
6,6,2012-10-21,23-282,TAM,,NOR,L 28-35,16,85,5.31,1,3,3,37,12.33,0,1,6
7,7,2012-10-25,23-286,TAM,@,MIN,W 36-17,29,135,4.66,1,6,3,79,26.33,1,2,12
8,8,2012-11-04,23-296,TAM,@,OAK,W 42-32,25,251,10.04,4,5,4,21,5.25,0,4,24
9,9,2012-11-11,23-303,TAM,,SDG,W 34-24,19,68,3.58,0,3,3,51,17.00,0,0,0
10,10,2012-11-18,23-310,TAM,@,CAR,W 27-21,24,138,5.75,0,5,4,23,5.75,0,0,0
11,11,2012-11-25,23-317,TAM,,ATL,L 23-24,21,50,2.38,2,2,2,13,6.50,0,2,12
12,12,2012-12-02,23-324,TAM,@,DEN,L 23-31,18,56,3.11,0,4,3,42,14.00,0,0,0
13,13,2012-12-09,23-331,TAM,,PHI,L 21-23,28,128,4.57,1,5,3,4,1.33,0,1,6
14,14,2012-12-16,23-338,TAM,@,NOR,L 0-41,9,16,1.78,0,5,3,19,6.33,0,0,0
15,15,2012-12-23,23-345,TAM,,STL,L 13-28,18,62,3.44,0,8,7,57,8.14,0,0,0
16,16,2012-12-30,23-352,TAM,@,ATL,W 22-17,28,142,5.07,1,5,4,18,4.50,0,1,6
,,16 Games,,,,,7-9-0,319,1454,4.56,11,70,49,472,9.63,1,12,72
