
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1,2012-09-09,25-114,TAM,,CAR,W 16-10,3,2,12,6.00,1,0,0,,0,0,0,,,,1,6
2,2,2012-09-16,25-121,TAM,@,NYG,L 34-41,5,3,59,19.67,1,0,0,,0,0,0,,,,1,6
3,3,2012-09-23,25-128,TAM,@,DAL,L 10-16,6,2,33,16.50,0,0,0,,0,0,0,,,,0,0
4,4,2012-09-30,25-135,TAM,,WAS,L 22-24,8,4,115,28.75,0,0,0,,0,0,0,,,,0,0
5,5,2012-10-14,25-149,TAM,,KAN,W 38-10,6,4,113,28.25,1,0,0,,0,0,0,,,,1,6
6,6,2012-10-21,25-156,TAM,,NOR,L 28-35,8,4,36,9.00,0,0,0,,0,0,0,,,,0,0
7,7,2012-10-25,25-160,TAM,@,MIN,W 36-17,11,6,68,11.33,1,0,0,,0,0,0,,,,1,6
8,8,2012-11-04,25-170,TAM,@,OAK,W 42-32,8,4,68,17.00,1,0,0,,0,0,0,,,,1,6
9,9,2012-11-11,25-177,TAM,,SDG,W 34-24,4,2,64,32.00,0,0,0,,0,0,0,,,,0,0
10,10,2012-11-18,25-184,TAM,@,CAR,W 27-21,9,3,29,9.67,0,0,0,,0,0,0,,,,0,0
11,11,2012-11-25,25-191,TAM,,ATL,L 23-24,5,3,28,9.33,0,1,1,100.00,28,0,0,118.7,28.00,28.00,0,0
12,12,2012-12-02,25-198,TAM,@,DEN,L 23-31,12,6,93,15.50,1,0,0,,0,0,0,,,,1,6
13,13,2012-12-09,25-205,TAM,,PHI,L 21-23,7,3,18,6.00,1,0,0,,0,0,0,,,,1,6
14,14,2012-12-16,25-212,TAM,@,NOR,L 0-41,7,4,63,15.75,0,0,0,,0,0,0,,,,0,0
15,15,2012-12-23,25-219,TAM,,STL,L 13-28,17,7,132,18.86,1,0,0,,0,0,0,,,,1,6
16,16,2012-12-30,25-226,TAM,@,ATL,W 22-17,10,6,65,10.83,1,0,0,,0,0,0,,,,1,6
,,16 Games,,,,,7-9-0,126,63,996,15.81,9,1,1,100.00,28,0,0,118.7,28.00,28.00,9,54
