
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,28-113,JAX,@,MIN,L 23-26,5,5,52,10.40,1,1,6
2,2,2012-09-16,28-120,JAX,,HOU,L 7-27,,,,,,,
3,3,2012-09-23,28-127,JAX,@,IND,W 22-17,1,1,8,8.00,0,0,0
4,4,2012-09-30,28-134,JAX,,CIN,L 10-27,3,3,32,10.67,1,1,6
5,5,2012-10-07,28-141,JAX,,CHI,L 3-41,7,5,24,4.80,0,0,0
6,6,2012-10-21,28-155,JAX,@,OAK,L 23-26,3,3,20,6.67,0,0,0
7,7,2012-10-28,28-162,JAX,@,GNB,L 15-24,7,2,21,10.50,0,0,0
8,8,2012-11-04,28-169,JAX,,DET,L 14-31,6,4,41,10.25,0,0,0
9,9,2012-11-08,28-173,JAX,,IND,L 10-27,4,3,36,12.00,0,0,0
10,10,2012-11-18,28-183,JAX,@,HOU,L 37-43,4,3,40,13.33,2,2,12
11,11,2012-11-25,28-190,JAX,,TEN,W 24-19,6,4,56,14.00,0,0,0
12,12,2012-12-02,28-197,JAX,@,BUF,L 18-34,7,4,68,17.00,0,0,0
13,13,2012-12-09,28-204,JAX,,NYJ,L 10-17,4,1,4,4.00,0,0,0
14,14,2012-12-16,28-211,JAX,@,MIA,L 3-24,4,3,8,2.67,0,0,0
15,15,2012-12-23,28-218,JAX,,NWE,L 16-23,6,4,27,6.75,0,0,0
16,16,2012-12-30,28-225,JAX,@,TEN,L 20-38,10,7,103,14.71,0,0,0
,,16 Games,,,,,2-14-0,77,52,540,10.38,4,4,24
