
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,3,2011-09-25,24-147,JAX,@,CAR,L 10-16,,,,,,,
2,4,2011-10-02,24-154,JAX,,NOR,L 10-23,1,1,16,16.00,0,0,0
3,5,2011-10-09,24-161,JAX,,CIN,L 20-30,1,0,0,,0,0,0
4,6,2011-10-16,24-168,JAX,@,PIT,L 13-17,,,,,,,
5,9,2011-11-13,24-196,JAX,@,IND,W 17-3,5,3,39,13.00,0,0,0
6,10,2011-11-20,24-203,JAX,@,CLE,L 10-14,3,2,14,7.00,0,0,0
7,11,2011-11-27,24-210,JAX,,HOU,L 13-20,,0,0,,0,0,0
8,12,2011-12-05,24-218,JAX,,SDG,L 14-38,0,,,,,,
9,13,2011-12-11,24-224,JAX,,TAM,W 41-14,4,2,19,9.50,0,0,0
10,14,2011-12-15,24-228,JAX,@,ATL,L 14-41,7,3,38,12.67,1,1,6
11,15,2011-12-24,24-237,JAX,@,TEN,L 17-23,4,1,14,14.00,0,0,0
12,16,2012-01-01,24-245,JAX,,IND,W 19-13,2,1,23,23.00,1,1,6
,,12 Games,,,,,3-9-0,27,13,163,12.54,2,2,12
