
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,22-299,JAX,@,PHI,L 17-34,9,4,110,27.50,2,2,12
2,2,2014-09-14,22-306,JAX,@,WAS,L 10-41,6,2,13,6.50,0,0,0
3,3,2014-09-21,22-313,JAX,,IND,L 17-44,3,1,63,63.00,1,1,6
4,4,2014-09-28,22-320,JAX,@,SDG,L 14-33,6,5,68,13.60,0,0,0
5,5,2014-10-05,22-327,JAX,,PIT,L 9-17,11,4,26,6.50,0,0,0
6,6,2014-10-12,22-334,JAX,@,TEN,L 14-16,4,2,18,9.00,0,0,0
7,7,2014-10-19,22-341,JAX,,CLE,W 24-6,2,1,7,7.00,0,0,0
8,8,2014-10-26,22-348,JAX,,MIA,L 13-27,4,3,49,16.33,0,0,0
9,9,2014-11-02,22-355,JAX,@,CIN,L 23-33,9,7,112,16.00,2,2,12
10,10,2014-11-09,22-362,JAX,,DAL,L 17-31,2,1,9,9.00,0,0,0
11,11,2014-11-23,23-011,JAX,@,IND,L 3-23,4,1,13,13.00,0,0,0
12,12,2014-11-30,23-018,JAX,,NYG,W 25-24,8,4,42,10.50,0,0,0
13,13,2014-12-07,23-025,JAX,,HOU,L 13-27,10,5,36,7.20,1,1,6
14,14,2014-12-14,23-032,JAX,@,BAL,L 12-20,9,6,70,11.67,0,0,0
15,15,2014-12-18,23-036,JAX,,TEN,W 21-13,6,3,26,8.67,0,0,0
16,16,2014-12-28,23-046,JAX,@,HOU,L 17-23,4,2,15,7.50,0,0,0
,,16 Games,,,,,3-13-0,97,51,677,13.27,6,6,36
