
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,23-328,JAX,,KAN,L 2-28,*,16,35,45.71,121,0,2,30.8,3.46,0.89,4,16,4.00,0
2,4,2013-09-29,23-349,JAX,,IND,L 3-37,*,17,32,53.13,179,0,3,30.6,5.59,1.38,2,10,5.00,0
3,5,2013-10-06,23-356,JAX,@,STL,L 20-34,*,9,19,47.37,181,1,2,59.2,9.53,5.84,3,6,2.00,0
,,3 Games,,,,,0-3-0,,42,86,48.84,481,1,7,36.0,5.59,2.16,9,32,3.56,0
