
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2011-09-11,30-061,JAX,,TEN,W 16-14,*,17,24,70.83,175,0,0,91.5,7.29,7.29,5,10,2.00,0,0.0,0,0
2,2,2011-09-18,30-068,JAX,@,NYJ,L 3-32,*,6,19,31.58,59,0,4,1.8,3.11,-6.37,1,4,4.00,0,0.0,1,0
3,8,2011-10-30,30-110,JAX,@,HOU,L 14-24,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0.0,0,0
4,11,2011-11-27,30-138,JAX,,HOU,L 13-20,,7,11,63.64,62,0,0,78.6,5.64,5.64,1,9,9.00,0,0.0,0,0
,,4 Games,,,,,1-3-0,,30,56,53.57,296,0,4,39.0,5.29,2.07,7,23,3.29,0,0.0,1,0
