
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2013-09-08,28-068,JAX,,KAN,L 2-28,,3,6,50.00,36,0,0,68.7,6.00,6.00,0,0,,0,0.0,0,0
2,2,2013-09-15,28-075,JAX,@,OAK,L 9-19,*,25,38,65.79,241,1,0,92.1,6.34,6.87,2,9,4.50,0,0.0,0,0
3,3,2013-09-22,28-082,JAX,@,SEA,L 17-45,*,18,38,47.37,235,0,2,45.4,6.18,3.82,2,5,2.50,0,0.0,0,0
4,5,2013-10-06,28-096,JAX,@,STL,L 20-34,,7,13,53.85,89,1,0,101.1,6.85,8.38,1,2,2.00,0,0.0,0,0
5,6,2013-10-13,28-103,JAX,@,DEN,L 19-35,*,27,42,64.29,303,0,2,65.9,7.21,5.07,2,-3,-1.50,0,0.0,0,0
6,7,2013-10-20,28-110,JAX,,SDG,L 6-24,*,23,36,63.89,318,0,1,80.6,8.83,7.58,4,5,1.25,0,0.0,0,0
7,8,2013-10-27,28-117,JAX,,SFO,L 10-42,*,29,45,64.44,228,1,0,84.3,5.07,5.51,1,1,1.00,0,0.0,0,0
8,9,2013-11-10,28-131,JAX,@,TEN,W 29-27,*,14,23,60.87,180,0,2,49.2,7.83,3.91,2,-1,-0.50,0,0.0,0,1
9,10,2013-11-17,28-138,JAX,,ARI,L 14-27,*,27,42,64.29,255,1,2,69.0,6.07,4.40,0,0,,0,0.0,0,0
10,11,2013-11-24,28-145,JAX,@,HOU,W 13-6,*,23,32,71.88,239,0,0,93.1,7.47,7.47,3,3,1.00,0,0.0,0,0
11,12,2013-12-01,28-152,JAX,@,CLE,W 32-28,*,22,40,55.00,195,2,1,74.5,4.88,4.75,0,0,,0,0.0,0,0
12,13,2013-12-05,28-156,JAX,,HOU,W 27-20,*,12,27,44.44,117,2,0,81.9,4.33,5.81,4,33,8.25,0,0.0,0,0
13,14,2013-12-15,28-166,JAX,,BUF,L 20-27,*,21,36,58.33,237,2,2,73.5,6.58,5.19,4,22,5.50,0,0.0,0,0
14,15,2013-12-22,28-173,JAX,,TEN,L 16-20,*,24,34,70.59,237,2,1,97.3,6.97,6.82,1,1,1.00,0,0.0,0,0
15,16,2013-12-29,28-180,JAX,@,IND,L 10-30,*,30,51,58.82,331,1,1,76.5,6.49,6.00,1,0,0.00,0,0.0,0,1
,,15 Games,,,,,4-11-0,,305,503,60.64,3241,13,14,76.5,6.44,5.71,27,77,2.85,0,0.0,0,2
