
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,24-262,JAX,@,MIN,L 23-26,7,4,74,18.50,1,0,0,,0,1,6
2,2,2012-09-16,24-269,JAX,,HOU,L 7-27,2,0,0,,0,0,0,,0,0,0
3,3,2012-09-23,24-276,JAX,@,IND,W 22-17,2,1,80,80.00,1,1,-4,-4.00,0,1,6
4,4,2012-09-30,24-283,JAX,,CIN,L 10-27,5,1,8,8.00,0,0,0,,0,0,0
5,5,2012-10-07,24-290,JAX,,CHI,L 3-41,3,2,43,21.50,0,0,0,,0,0,0
6,6,2012-10-21,24-304,JAX,@,OAK,L 23-26,10,4,79,19.75,1,0,0,,0,1,6
7,7,2012-10-28,24-311,JAX,@,GNB,L 15-24,12,8,116,14.50,0,0,0,,0,0,0
8,8,2012-11-04,24-318,JAX,,DET,L 14-31,4,3,56,18.67,0,0,0,,0,0,0
9,9,2012-11-08,24-322,JAX,,IND,L 10-27,13,6,105,17.50,1,0,0,,0,1,6
10,10,2012-11-18,24-332,JAX,@,HOU,L 37-43,6,3,81,27.00,1,0,0,,0,1,6
11,11,2012-11-25,24-339,JAX,,TEN,W 24-19,7,4,105,26.25,1,0,0,,0,1,6
12,12,2012-12-02,24-346,JAX,@,BUF,L 18-34,12,7,77,11.00,1,0,0,,0,1,6
13,14,2012-12-16,24-360,JAX,@,MIA,L 3-24,11,6,101,16.83,0,0,0,,0,0,0
14,15,2012-12-23,25-001,JAX,,NWE,L 16-23,11,6,54,9.00,0,0,0,,0,0,0
,,14 Games,,,,,2-12-0,105,55,979,17.80,7,1,-4,-4.00,0,7,42
