
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-169,JAX,,KAN,L 2-28,15,45,3.00,0,2,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
2,2,2013-09-15,28-176,JAX,@,OAK,L 9-19,10,27,2.70,0,1,1,1,1.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,3,2013-09-22,28-183,JAX,@,SEA,L 17-45,19,43,2.26,1,5,2,19,9.50,0,0,0,,0,0,0,,,,1,6,0.0,1,0
4,4,2013-09-29,28-190,JAX,,IND,L 3-37,13,23,1.77,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
5,5,2013-10-06,28-197,JAX,@,STL,L 20-34,17,70,4.12,0,3,2,16,8.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
6,6,2013-10-13,28-204,JAX,@,DEN,L 19-35,20,71,3.55,1,2,2,3,1.50,0,0,0,,0,0,0,,,,1,6,0.0,0,0
7,7,2013-10-20,28-211,JAX,,SDG,L 6-24,9,37,4.11,0,2,2,19,9.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
8,8,2013-10-27,28-218,JAX,,SFO,L 10-42,19,75,3.95,0,8,6,47,7.83,0,0,0,,0,0,0,,,,0,0,0.0,0,0
9,9,2013-11-10,28-232,JAX,@,TEN,W 29-27,21,41,1.95,1,4,4,33,8.25,0,0,0,,0,0,0,,,,1,6,0.0,0,0
10,10,2013-11-17,28-239,JAX,,ARI,L 14-27,14,23,1.64,1,4,4,12,3.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
11,11,2013-11-24,28-246,JAX,@,HOU,W 13-6,14,84,6.00,1,6,6,60,10.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
12,12,2013-12-01,28-253,JAX,@,CLE,W 32-28,23,77,3.35,0,8,2,4,2.00,0,1,1,100.00,8,1,0,139.6,8.00,28.00,0,0,0.0,0,0
13,13,2013-12-05,28-257,JAX,,HOU,W 27-20,14,103,7.36,0,3,2,20,10.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
14,15,2013-12-22,28-274,JAX,,TEN,L 16-20,13,45,3.46,0,5,4,24,6.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
15,16,2013-12-29,28-281,JAX,@,IND,L 10-30,13,39,3.00,0,6,5,51,10.20,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,15 Games,,,,,4-11-0,234,803,3.43,5,60,43,314,7.30,0,1,1,100.00,8,1,0,139.6,8.00,28.00,5,30,0.0,1,0
