
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,26-203,JAX,,TEN,W 16-14,5,4,53,13.25,0,0,0
2,3,2011-09-25,26-217,JAX,@,CAR,L 10-16,5,1,5,5.00,0,0,0
3,4,2011-10-02,26-224,JAX,,NOR,L 10-23,9,2,34,17.00,0,0,0
4,5,2011-10-09,26-231,JAX,,CIN,L 20-30,8,5,118,23.60,1,1,6
5,6,2011-10-16,26-238,JAX,@,PIT,L 13-17,3,2,29,14.50,1,1,6
6,7,2011-10-24,26-246,JAX,,BAL,W 12-7,8,4,62,15.50,0,0,0
7,8,2011-10-30,26-252,JAX,@,HOU,L 14-24,5,1,5,5.00,1,1,6
8,9,2011-11-13,26-266,JAX,@,IND,W 17-3,1,0,0,,0,0,0
9,10,2011-11-20,26-273,JAX,@,CLE,L 10-14,7,3,49,16.33,0,0,0
10,11,2011-11-27,26-280,JAX,,HOU,L 13-20,4,3,12,4.00,0,0,0
,,10 Games,,,,,3-7-0,55,25,367,14.68,3,3,18
