
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2014-09-08,33-248,NYG,@,DET,L 14-35,*,18,33,54.55,163,1,2,53.0,4.94,2.82,0,0,,0,0,0
2,2,2014-09-14,33-254,NYG,,ARI,L 14-25,*,26,39,66.67,277,2,2,83.0,7.10,5.82,1,5,5.00,0,0,0
3,3,2014-09-21,33-261,NYG,,HOU,W 30-17,*,21,28,75.00,234,2,0,123.2,8.36,9.79,1,-1,-1.00,0,0,0
4,4,2014-09-25,33-265,NYG,@,WAS,W 45-14,*,28,39,71.79,300,4,1,117.5,7.69,8.59,1,1,1.00,1,1,6
5,5,2014-10-05,33-275,NYG,,ATL,W 30-20,*,19,30,63.33,200,2,0,104.9,6.67,8.00,2,-3,-1.50,0,0,0
6,6,2014-10-12,33-282,NYG,@,PHI,L 0-27,*,13,23,56.52,151,0,0,76.5,6.57,6.57,2,3,1.50,0,0,0
7,7,2014-10-19,33-289,NYG,@,DAL,L 21-31,*,21,33,63.64,248,3,0,116.7,7.52,9.33,1,11,11.00,0,0,0
8,8,2014-11-03,33-304,NYG,,IND,L 24-40,*,27,52,51.92,359,2,0,86.9,6.90,7.67,1,18,18.00,0,0,0
9,9,2014-11-09,33-310,NYG,@,SEA,L 17-38,*,29,44,65.91,283,1,1,81.9,6.43,5.86,0,0,,0,0,0
10,10,2014-11-16,33-317,NYG,,SFO,L 10-16,*,22,45,48.89,280,1,5,36.6,6.22,1.67,0,0,,0,0,0
11,11,2014-11-23,33-324,NYG,,DAL,L 28-31,*,29,40,72.50,338,3,1,112.3,8.45,8.83,0,0,,0,0,0
12,12,2014-11-30,33-331,NYG,@,JAX,L 24-25,*,24,34,70.59,247,1,0,101.0,7.26,7.85,0,0,,0,0,0
13,13,2014-12-07,33-338,NYG,@,TEN,W 36-7,*,26,42,61.90,260,1,1,77.5,6.19,5.60,0,0,,0,0,0
14,14,2014-12-14,33-345,NYG,,WAS,W 24-13,*,23,34,67.65,250,3,0,118.5,7.35,9.12,0,0,,0,0,0
15,15,2014-12-21,33-352,NYG,@,STL,W 37-27,*,25,32,78.13,391,3,0,148.8,12.22,14.09,3,-3,-1.00,0,0,0
16,16,2014-12-28,33-359,NYG,,PHI,L 26-34,*,28,53,52.83,429,1,1,78.3,8.09,7.62,0,0,,0,0,0
,,16 Games,,,,,6-10-0,,379,601,63.06,4410,30,14,92.1,7.34,7.29,12,31,2.58,1,1,6
