
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-05,25-299,NYG,,DAL,L 17-24,11,6,58,9.67,0,0,0
2,2,2012-09-16,25-310,NYG,,TAM,W 41-34,17,11,179,16.27,1,1,6
3,3,2012-09-20,25-314,NYG,@,CAR,W 36-7,8,6,42,7.00,0,0,0
4,4,2012-09-30,25-324,NYG,@,PHI,L 17-19,13,9,109,12.11,1,1,6
5,5,2012-10-07,25-331,NYG,,CLE,W 41-27,8,5,50,10.00,3,3,18
6,6,2012-10-14,25-338,NYG,@,SFO,W 26-3,13,6,58,9.67,1,1,6
7,7,2012-10-21,25-345,NYG,,WAS,W 27-23,11,7,131,18.71,1,1,6
8,8,2012-10-28,25-352,NYG,@,DAL,W 29-24,8,2,23,11.50,0,0,0
9,9,2012-11-04,25-359,NYG,,PIT,L 20-24,11,5,67,13.40,0,0,0
10,10,2012-11-11,26-000,NYG,@,CIN,L 13-31,4,3,26,8.67,0,0,0
11,11,2012-11-25,26-014,NYG,,GNB,W 38-10,6,3,36,12.00,1,1,6
12,12,2012-12-03,26-022,NYG,@,WAS,L 16-17,8,5,104,20.80,0,0,0
13,13,2012-12-09,26-028,NYG,,NOR,W 52-27,9,8,121,15.13,1,1,6
14,14,2012-12-16,26-035,NYG,@,ATL,L 0-34,5,3,15,5.00,0,0,0
15,15,2012-12-23,26-042,NYG,@,BAL,L 14-33,5,3,21,7.00,0,0,0
16,16,2012-12-30,26-049,NYG,,PHI,W 42-7,6,4,52,13.00,1,1,6
,,16 Games,,,,,9-7-0,143,86,1092,12.70,10,10,60
