
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,32-248,NYG,@,DAL,L 31-36,*,27,42,64.29,450,4,3,102.3,10.71,9.40,2,8,4.00,0
2,2,2013-09-15,32-255,NYG,,DEN,L 23-41,*,28,49,57.14,362,1,4,53.3,7.39,4.12,0,0,,0
3,3,2013-09-22,32-262,NYG,@,CAR,L 0-38,*,12,23,52.17,119,0,1,49.0,5.17,3.22,1,14,14.00,0
4,4,2013-09-29,32-269,NYG,@,KAN,L 7-31,*,18,37,48.65,217,1,1,64.8,5.86,5.19,2,12,6.00,0
5,5,2013-10-06,32-276,NYG,,PHI,L 21-36,*,24,52,46.15,334,2,3,56.1,6.42,4.60,0,0,,0
6,6,2013-10-10,32-280,NYG,@,CHI,L 21-27,*,14,26,53.85,239,1,3,58.5,9.19,4.77,0,0,,0
7,7,2013-10-21,32-291,NYG,,MIN,W 23-7,*,23,39,58.97,200,1,0,81.1,5.13,5.64,3,5,1.67,0
8,8,2013-10-27,32-297,NYG,@,PHI,W 15-7,*,25,39,64.10,246,0,0,81.8,6.31,6.31,1,-1,-1.00,0
9,9,2013-11-10,32-311,NYG,,OAK,W 24-20,*,12,22,54.55,140,1,1,70.3,6.36,5.23,3,-3,-1.00,0
10,10,2013-11-17,32-318,NYG,,GNB,W 27-13,*,25,35,71.43,279,1,1,92.4,7.97,7.26,1,3,3.00,0
11,11,2013-11-24,32-325,NYG,,DAL,L 21-24,*,16,30,53.33,174,2,0,92.9,5.80,7.13,0,0,,0
12,12,2013-12-01,32-332,NYG,@,WAS,W 24-17,*,22,28,78.57,235,1,1,98.7,8.39,7.50,3,0,0.00,0
13,13,2013-12-08,32-339,NYG,@,SDG,L 14-37,*,20,32,62.50,259,1,2,72.3,8.09,5.91,0,0,,0
14,14,2013-12-15,32-346,NYG,,SEA,L 0-23,*,18,31,58.06,156,0,5,31.9,5.03,-2.23,0,0,,0
15,15,2013-12-22,32-353,NYG,@,DET,W 23-20,*,23,42,54.76,256,1,1,71.1,6.10,5.50,2,-2,-1.00,0
16,16,2013-12-29,32-360,NYG,,WAS,W 20-6,*,10,24,41.67,152,1,1,59.7,6.33,5.29,0,0,,0
,,16 Games,,,,,7-9-0,,317,551,57.53,3818,18,27,69.4,6.93,5.38,18,36,2.00,0
