
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-05,31-246,NYG,,DAL,L 17-24,*,21,32,65.63,213,1,0,94.9,6.66,7.28,0,0,,0
2,2,2012-09-16,31-257,NYG,,TAM,W 41-34,*,31,51,60.78,510,3,3,89.5,10.00,8.53,3,-2,-0.67,0
3,3,2012-09-20,31-261,NYG,@,CAR,W 36-7,*,27,35,77.14,288,1,0,110.2,8.23,8.80,2,5,2.50,0
4,4,2012-09-30,31-271,NYG,@,PHI,L 17-19,*,24,42,57.14,309,2,1,86.3,7.36,7.24,0,0,,0
5,5,2012-10-07,31-278,NYG,,CLE,W 41-27,*,25,37,67.57,259,3,1,103.3,7.00,7.41,2,-1,-0.50,0
6,6,2012-10-14,31-285,NYG,@,SFO,W 26-3,*,15,28,53.57,193,1,0,87.4,6.89,7.61,3,-2,-0.67,0
7,7,2012-10-21,31-292,NYG,,WAS,W 27-23,*,26,40,65.00,337,1,2,78.9,8.43,6.68,2,4,2.00,0
8,8,2012-10-28,31-299,NYG,@,DAL,W 29-24,*,15,29,51.72,192,0,1,58.4,6.62,5.07,1,3,3.00,0
9,9,2012-11-04,31-306,NYG,,PIT,L 20-24,*,10,24,41.67,125,0,1,41.1,5.21,3.33,0,0,,0
10,10,2012-11-11,31-313,NYG,@,CIN,L 13-31,*,29,46,63.04,215,0,2,56.0,4.67,2.72,1,1,1.00,0
11,11,2012-11-25,31-327,NYG,,GNB,W 38-10,*,16,30,53.33,249,3,0,114.4,8.30,10.30,2,12,6.00,0
12,12,2012-12-03,31-335,NYG,@,WAS,L 16-17,*,20,33,60.61,280,1,0,98.0,8.48,9.09,1,5,5.00,0
13,13,2012-12-09,31-341,NYG,,NOR,W 52-27,*,22,35,62.86,259,4,2,99.6,7.40,7.11,2,-3,-1.50,0
14,14,2012-12-16,31-348,NYG,@,ATL,L 0-34,*,13,25,52.00,161,0,2,38.9,6.44,2.84,0,0,,0
15,15,2012-12-23,31-355,NYG,@,BAL,L 14-33,*,14,28,50.00,150,1,0,78.0,5.36,6.07,1,8,8.00,0
16,16,2012-12-30,31-362,NYG,,PHI,W 42-7,*,13,21,61.90,208,5,0,134.5,9.90,14.67,0,0,,0
,,16 Games,,,,,9-7-0,,321,536,59.89,3948,26,15,87.2,7.37,7.08,20,30,1.50,0
