
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,5,2014-10-05,21-334,NYG,,ATL,W 30-20,5,4,44,11.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
2,6,2014-10-12,21-341,NYG,@,PHI,L 0-27,4,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0.0,0,0
3,7,2014-10-19,21-348,NYG,@,DAL,L 21-31,6,4,34,8.50,2,1,13,13.00,0,0,0,,0,0,0,,,,2,21,10.50,0,2,12,0.0,1,0
4,8,2014-11-03,21-363,NYG,,IND,L 24-40,11,8,156,19.50,0,0,0,,0,0,0,,0,0,0,,,,1,-3,-3.00,0,0,0,0.0,0,0
5,9,2014-11-09,22-004,NYG,@,SEA,L 17-38,9,7,108,15.43,0,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
6,10,2014-11-16,22-011,NYG,,SFO,L 10-16,13,6,93,15.50,0,0,0,,0,0,0,,0,0,0,,,,3,39,13.00,0,0,0,0.0,1,0
7,11,2014-11-23,22-018,NYG,,DAL,L 28-31,11,10,146,14.60,2,1,-2,-2.00,0,0,0,,0,0,0,,,,1,-1,-1.00,0,2,12,0.0,0,0
8,12,2014-11-30,22-025,NYG,@,JAX,L 24-25,8,7,90,12.86,0,1,4,4.00,0,0,0,,0,0,0,,,,5,48,9.60,0,0,0,0.0,0,0
9,13,2014-12-07,22-032,NYG,@,TEN,W 36-7,15,11,130,11.82,1,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,49,12.25,0,1,6,0.0,0,0
10,14,2014-12-14,22-039,NYG,,WAS,W 24-13,15,12,143,11.92,3,1,0,0.00,0,0,0,,0,0,0,,,,4,19,4.75,0,3,18,0.0,1,0
11,15,2014-12-21,22-046,NYG,@,STL,W 37-27,12,8,148,18.50,2,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,2,12,0.0,0,0
12,16,2014-12-28,22-053,NYG,,PHI,L 26-34,21,12,185,15.42,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
,,12 Games,,,,,4-8-0,130,91,1305,14.34,12,7,35,5.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,21,171,8.14,0,12,72,0.0,3,0
