
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-176,NYG,@,WAS,L 14-28,13,44,3.38,1,2,1,10,10.00,0,,1,6,0.0,0,0
2,2,2011-09-19,25-184,NYG,,STL,W 28-16,15,59,3.93,0,5,5,45,9.00,0,,0,0,0.0,0,0
3,3,2011-09-25,25-190,NYG,@,PHI,W 29-16,15,86,5.73,0,5,5,53,10.60,1,,1,6,0.0,0,0
4,4,2011-10-02,25-197,NYG,@,ARI,W 31-27,12,39,3.25,1,5,4,11,2.75,0,,1,6,0.0,0,0
5,5,2011-10-09,25-204,NYG,,SEA,L 25-36,17,58,3.41,0,5,2,27,13.50,0,1,0,2,0.0,2,0
6,6,2011-10-16,25-211,NYG,,BUF,W 27-24,26,104,4.00,3,2,2,26,13.00,0,,3,18,0.0,0,0
7,7,2011-10-30,25-225,NYG,,MIA,W 20-17,13,50,3.85,0,5,5,38,7.60,0,,0,0,0.0,0,0
8,12,2011-12-04,25-260,NYG,,GNB,L 35-38,11,38,3.45,0,5,2,9,4.50,0,,0,0,0.0,0,0
9,13,2011-12-11,25-267,NYG,@,DAL,W 37-34,8,12,1.50,0,1,1,7,7.00,0,,0,0,0.0,0,0
10,14,2011-12-18,25-274,NYG,,WAS,L 10-23,10,58,5.80,1,4,3,21,7.00,0,,1,6,0.0,2,0
11,15,2011-12-24,25-280,NYG,@,NYJ,W 29-14,15,54,3.60,2,1,1,8,8.00,0,,2,12,0.0,0,0
12,16,2012-01-01,25-288,NYG,,DAL,W 31-14,16,57,3.56,1,4,3,12,4.00,1,,2,12,0.0,0,0
,,12 Games,,,,,8-4-0,171,659,3.85,9,44,34,267,7.85,2,1,11,68,0.0,4,0
