
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-301,NYG,@,DAL,L 31-36,8,5,118,23.60,3,3,18,0.0,0,0
2,2,2013-09-15,26-308,NYG,,DEN,L 23-41,11,8,118,14.75,0,0,0,0.0,0,0
3,3,2013-09-22,26-315,NYG,@,CAR,L 0-38,8,3,25,8.33,0,0,0,0.0,1,0
4,4,2013-09-29,26-322,NYG,@,KAN,L 7-31,16,10,164,16.40,1,1,6,0.0,0,0
5,5,2013-10-06,26-329,NYG,,PHI,L 21-36,12,5,48,9.60,0,0,0,0.0,1,0
6,6,2013-10-10,26-333,NYG,@,CHI,L 21-27,5,4,68,17.00,0,0,0,0.0,1,0
7,7,2013-10-21,26-344,NYG,,MIN,W 23-7,7,5,50,10.00,0,0,0,0.0,0,0
8,8,2013-10-27,26-350,NYG,@,PHI,W 15-7,10,7,86,12.29,0,0,0,0.0,0,0
9,9,2013-11-10,26-364,NYG,,OAK,W 24-20,10,3,37,12.33,0,0,0,0.0,0,0
10,10,2013-11-17,27-006,NYG,,GNB,W 27-13,11,8,110,13.75,0,0,0,0.0,0,0
11,11,2013-11-24,27-013,NYG,,DAL,L 21-24,4,2,27,13.50,0,0,0,0.0,0,0
12,12,2013-12-01,27-020,NYG,@,WAS,W 24-17,7,6,80,13.33,0,0,0,0.0,0,0
13,13,2013-12-08,27-027,NYG,@,SDG,L 14-37,6,5,42,8.40,0,0,0,0.0,0,0
14,14,2013-12-15,27-034,NYG,,SEA,L 0-23,7,2,25,12.50,0,0,0,0.0,1,0
,,14 Games,,,,,5-9-0,122,73,998,13.67,4,4,24,0.0,4,0
