
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,7,2014-10-26,28-019,KAN,,STL,W 34-7,,,,,,,,,,,,,,
2,14,2014-12-14,28-068,KAN,,OAK,W 31-13,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-1,-1.00,0
3,16,2014-12-28,28-082,KAN,,SDG,W 19-7,*,16,27,59.26,157,0,0,75.7,5.81,5.81,3,16,5.33,0
,,3 Games,,,,,3-0-0,,16,28,57.14,157,0,0,73.1,5.61,5.61,4,15,3.75,0
