
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-255,KAN,@,JAX,W 28-2,16,77,4.81,1,6,3,23,7.67,0,1,6,0.0,0,0
2,2,2013-09-15,26-262,KAN,,DAL,W 17-16,16,55,3.44,0,10,8,48,6.00,1,1,6,0.0,0,0
3,3,2013-09-19,26-266,KAN,@,PHI,W 26-16,20,92,4.60,1,8,7,80,11.43,0,1,6,0.0,0,0
4,4,2013-09-29,26-276,KAN,,NYG,W 31-7,18,65,3.61,0,11,5,62,12.40,1,1,6,0.0,1,0
5,5,2013-10-06,26-283,KAN,@,TEN,W 26-17,22,108,4.91,1,9,5,37,7.40,0,1,6,0.0,1,0
6,6,2013-10-13,26-290,KAN,,OAK,W 24-7,22,78,3.55,2,9,5,50,10.00,0,2,12,0.0,0,0
7,7,2013-10-20,26-297,KAN,,HOU,W 17-16,21,86,4.10,1,4,3,37,12.33,0,1,6,0.0,0,0
8,8,2013-10-27,26-304,KAN,,CLE,W 23-17,18,74,4.11,0,7,5,46,9.20,0,0,0,0.0,0,0
9,9,2013-11-03,26-311,KAN,@,BUF,W 23-13,17,90,5.29,0,7,6,6,1.00,0,0,0,0.0,0,0
10,10,2013-11-17,26-325,KAN,@,DEN,L 17-27,16,78,4.88,0,8,2,-6,-3.00,0,0,0,0.0,0,0
11,11,2013-11-24,26-332,KAN,,SDG,L 38-41,14,115,8.21,2,6,4,42,10.50,0,2,12,0.0,1,0
12,12,2013-12-01,26-339,KAN,,DEN,L 28-35,19,93,4.89,1,2,2,27,13.50,0,1,6,0.0,0,0
13,13,2013-12-08,26-346,KAN,@,WAS,W 45-10,19,150,7.89,1,3,2,8,4.00,1,2,12,0.0,0,0
14,14,2013-12-15,26-353,KAN,@,OAK,W 56-31,8,20,2.50,1,8,8,195,24.38,4,5,30,0.0,0,0
15,15,2013-12-22,26-360,KAN,,IND,L 7-23,13,106,8.15,1,6,5,38,7.60,0,1,6,0.0,1,0
,,15 Games,,,,,11-4-0,259,1287,4.97,12,104,70,693,9.90,7,19,114,0.0,4,0
