
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,29-124,KAN,@,JAX,W 28-2,*,21,34,61.76,173,2,0,94.4,5.09,6.26,4,25,6.25,0,0,0,0,,0,0,0,0.0,0,0
2,2,2013-09-15,29-131,KAN,,DAL,W 17-16,*,21,36,58.33,223,2,0,95.0,6.19,7.31,8,57,7.13,0,0,0,0,,0,0,0,0.0,0,0
3,3,2013-09-19,29-135,KAN,@,PHI,W 26-16,*,22,35,62.86,273,0,0,87.0,7.80,7.80,11,32,2.91,0,0,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,29-145,KAN,,NYG,W 31-7,*,24,41,58.54,288,3,2,84.2,7.02,6.29,7,37,5.29,0,0,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,29-152,KAN,@,TEN,W 26-17,*,20,39,51.28,245,0,1,60.3,6.28,5.13,3,10,3.33,0,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-13,29-159,KAN,,OAK,W 24-7,*,14,31,45.16,128,0,0,56.9,4.13,4.13,4,29,7.25,0,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-20,29-166,KAN,,HOU,W 17-16,*,23,34,67.65,240,0,1,75.6,7.06,5.74,6,28,4.67,1,1,1,-4,-4.00,0,1,6,0.0,0,0
8,8,2013-10-27,29-173,KAN,,CLE,W 23-17,*,24,36,66.67,225,2,0,102.2,6.25,7.36,6,40,6.67,0,0,0,0,,0,0,0,0.0,0,0
9,9,2013-11-03,29-180,KAN,@,BUF,W 23-13,*,19,29,65.52,124,0,0,74.5,4.28,4.28,4,7,1.75,0,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,29-194,KAN,@,DEN,L 17-27,*,21,45,46.67,230,2,0,77.1,5.11,6.00,5,52,10.40,0,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,29-201,KAN,,SDG,L 38-41,*,26,38,68.42,294,3,1,106.7,7.74,8.13,2,-3,-1.50,0,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,29-208,KAN,,DEN,L 28-35,*,26,42,61.90,293,2,1,88.7,6.98,6.86,4,46,11.50,0,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,29-215,KAN,@,WAS,W 45-10,*,14,20,70.00,137,2,0,122.3,6.85,8.85,2,7,3.50,0,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,29-222,KAN,@,OAK,W 56-31,*,17,20,85.00,287,5,0,158.3,14.35,19.35,4,17,4.25,0,0,0,0,,0,0,0,0.0,1,0
15,15,2013-12-22,29-229,KAN,,IND,L 7-23,*,16,28,57.14,153,0,1,57.6,5.46,3.86,6,47,7.83,0,0,0,0,,0,0,0,0.0,0,0
,,15 Games,,,,,11-4-0,,308,508,60.63,3313,23,7,89.1,6.52,6.81,76,431,5.67,1,1,1,-4,-4.00,0,1,6,0.0,1,0
