
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-292,SDG,,MIN,W 24-17,12,35,2.92,1,9,9,58,6.44,2,3,18,0.0,1,0
2,2,2011-09-18,25-299,SDG,@,NWE,L 21-35,9,10,1.11,0,9,8,73,9.13,0,0,0,0.0,2,0
3,3,2011-09-25,25-306,SDG,,KAN,W 20-17,4,19,4.75,0,5,3,24,8.00,0,0,0,0.0,0,0
4,4,2011-10-02,25-313,SDG,,MIA,W 26-16,6,17,2.83,1,8,5,51,10.20,0,1,6,0.0,0,0
5,5,2011-10-09,25-320,SDG,@,DEN,W 29-24,5,24,4.80,0,3,3,25,8.33,0,0,0,0.0,0,0
6,6,2011-10-23,25-334,SDG,@,NYJ,L 21-27,11,58,5.27,1,1,0,0,,0,1,6,0.0,0,0
7,8,2011-11-06,25-348,SDG,,GNB,L 38-45,19,83,4.37,1,9,4,59,14.75,0,1,6,0.0,0,0
8,9,2011-11-10,25-352,SDG,,OAK,L 17-24,7,36,5.14,0,9,5,37,7.40,0,0,0,0.0,0,0
9,10,2011-11-20,25-362,SDG,@,CHI,L 20-31,3,14,4.67,0,7,5,24,4.80,0,0,0,0.0,0,0
10,11,2011-11-27,26-004,SDG,,DEN,L 13-16,11,44,4.00,0,4,3,19,6.33,0,0,0,0.0,0,0
11,12,2011-12-05,26-012,SDG,@,JAX,W 38-14,6,24,4.00,1,1,0,0,,0,1,6,0.0,0,0
12,13,2011-12-11,26-018,SDG,,BUF,W 37-10,6,21,3.50,1,1,0,0,,0,1,6,0.0,0,1
13,14,2011-12-18,26-025,SDG,,BAL,W 34-14,8,40,5.00,1,2,2,18,9.00,0,1,6,0.0,0,0
14,15,2011-12-24,26-031,SDG,@,DET,L 10-38,5,7,1.40,0,10,6,32,5.33,0,0,0,0.0,0,0
15,16,2012-01-01,26-039,SDG,@,OAK,W 38-26,9,58,6.44,1,1,1,13,13.00,0,1,6,0.0,0,0
,,15 Games,,,,,8-7-0,121,490,4.05,8,79,54,433,8.02,2,10,60,0.0,3,1
