
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,27-354,KAN,,ATL,L 24-40,6,3,53,17.67,0,0,0
2,2,2012-09-16,27-361,KAN,@,BUF,L 17-35,15,8,102,12.75,2,2,12
3,3,2012-09-23,28-002,KAN,@,NOR,W 27-24,16,7,79,11.29,0,0,0
4,4,2012-09-30,28-009,KAN,,SDG,L 20-37,12,7,108,15.43,1,1,6
5,5,2012-10-07,28-016,KAN,,BAL,L 6-9,8,6,60,10.00,0,0,0
6,6,2012-10-14,28-023,KAN,@,TAM,L 10-38,9,3,25,8.33,0,0,0
7,7,2012-10-28,28-037,KAN,,OAK,L 16-26,6,3,65,21.67,0,0,0
8,8,2012-11-01,28-041,KAN,@,SDG,L 13-31,10,8,79,9.88,0,0,0
9,9,2012-11-12,28-052,KAN,@,PIT,L 13-16,9,4,55,13.75,0,0,0
10,10,2012-11-18,28-058,KAN,,CIN,L 6-28,2,0,0,,0,0,0
11,11,2012-11-25,28-065,KAN,,DEN,L 9-17,12,4,41,10.25,0,0,0
12,12,2012-12-02,28-072,KAN,,CAR,W 27-21,7,4,64,16.00,0,0,0
13,13,2012-12-09,28-079,KAN,@,CLE,L 7-30,2,2,70,35.00,0,0,0
,,13 Games,,,,,2-11-0,114,59,801,13.58,3,3,18
