
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2,2011-09-18,28-040,KAN,@,DET,L 3-48,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
2,9,2011-11-13,28-096,KAN,,DEN,L 10-17,,5,6,83.33,47,0,0,99.3,7.83,7.83,1,8,8.00,0
3,10,2011-11-21,28-104,KAN,@,NWE,L 3-34,*,24,37,64.86,230,0,3,48.3,6.22,2.57,1,-6,-6.00,0
4,11,2011-11-27,28-110,KAN,,PIT,L 9-13,*,18,28,64.29,167,0,3,40.9,5.96,1.14,1,0,0.00,0
5,12,2011-12-04,28-117,KAN,@,CHI,W 10-3,*,17,30,56.67,157,1,0,82.2,5.23,5.90,1,1,1.00,0
6,13,2011-12-11,28-124,KAN,@,NYJ,L 10-37,*,16,32,50.00,195,1,1,66.5,6.09,5.31,1,12,12.00,0
,,6 Games,,,,,1-5-0,,80,134,59.70,796,2,7,59.8,5.94,3.89,5,15,3.00,0
