
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,26-336,KAN,@,JAX,W 28-2,,0,0,,0,0,0,,,,1,-1,-1.00,0
2,4,2013-09-29,26-357,KAN,,NYG,W 31-7,,0,0,,0,0,0,,,,2,-2,-1.00,0
3,13,2013-12-08,27-062,KAN,@,WAS,W 45-10,,1,3,33.33,17,0,1,13.9,5.67,-9.33,3,-3,-1.00,0
4,14,2013-12-15,27-069,KAN,@,OAK,W 56-31,,3,5,60.00,31,0,0,77.9,6.20,6.20,1,-1,-1.00,0
5,16,2013-12-29,27-083,KAN,@,SDG,L 24-27,*,21,30,70.00,200,1,0,99.3,6.67,7.33,7,59,8.43,0
,,5 Games,,,,,4-1-0,,25,38,65.79,248,1,1,81.9,6.53,5.87,14,52,3.71,0
