
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,27-345,KAN,,BUF,L 7-41,2,7,3.50,0,1,1,-1,-1.00,0,0,0,0.0,0,0
2,2,2011-09-18,27-352,KAN,@,DET,L 3-48,2,6,3.00,0,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,27-359,KAN,@,SDG,L 17-20,1,2,2.00,0,1,1,3,3.00,0,0,0,0.0,0,1
4,4,2011-10-02,28-001,KAN,,MIN,W 22-17,5,22,4.40,0,1,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,28-008,KAN,@,IND,W 28-24,19,119,6.26,0,2,2,21,10.50,0,0,0,0.0,0,0
6,6,2011-10-23,28-022,KAN,@,OAK,W 28-0,16,76,4.75,0,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-31,28-030,KAN,,SDG,W 23-20,19,70,3.68,1,0,0,0,,0,1,6,0.0,0,0
8,8,2011-11-06,28-036,KAN,,MIA,L 3-31,14,40,2.86,0,2,1,9,9.00,0,0,0,0.0,0,0
9,9,2011-11-13,28-043,KAN,,DEN,L 10-17,9,61,6.78,0,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-21,28-051,KAN,@,NWE,L 3-34,8,33,4.13,0,1,1,3,3.00,0,0,0,0.0,0,0
11,11,2011-11-27,28-057,KAN,,PIT,L 9-13,9,20,2.22,0,1,0,0,,0,0,0,0.0,0,0
12,12,2011-12-04,28-064,KAN,@,CHI,W 10-3,11,15,1.36,0,0,0,0,,0,0,0,0.0,0,1
13,13,2011-12-11,28-071,KAN,@,NYJ,L 10-37,10,33,3.30,0,2,2,26,13.00,0,0,0,0.0,0,0
14,14,2011-12-18,28-078,KAN,,GNB,W 19-14,10,37,3.70,1,1,1,7,7.00,0,1,6,0.0,0,0
15,15,2011-12-24,28-084,KAN,,OAK,L 13-16,14,56,4.00,0,1,0,0,,0,0,0,0.0,0,0
,,15 Games,,,,,6-9-0,149,597,4.01,2,13,9,68,7.56,0,2,12,0.0,0,2
