
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1,2011-09-11,29-117,KAN,,BUF,L 7-41,*,22,36,61.11,119,1,1,64.5,3.31,2.61,0,0,,0,1,1,-4,-4.00,0
2,2,2011-09-18,29-124,KAN,@,DET,L 3-48,*,15,22,68.18,133,0,3,44.5,6.05,-0.09,0,0,,0,0,0,0,,0
3,3,2011-09-25,29-131,KAN,@,SDG,L 17-20,*,17,24,70.83,176,2,1,102.1,7.33,7.13,1,1,1.00,0,0,0,0,,0
4,4,2011-10-02,29-138,KAN,,MIN,W 22-17,*,18,29,62.07,260,1,0,102.7,8.97,9.66,4,20,5.00,0,0,0,0,,0
5,5,2011-10-09,29-145,KAN,@,IND,W 28-24,*,21,29,72.41,257,4,0,138.9,8.86,11.62,5,12,2.40,0,0,0,0,,0
6,6,2011-10-23,29-159,KAN,@,OAK,W 28-0,*,15,30,50.00,161,0,2,38.3,5.37,2.37,2,-2,-1.00,0,0,0,0,,0
7,7,2011-10-31,29-167,KAN,,SDG,W 23-20,*,19,32,59.38,261,1,2,69.9,8.16,5.97,2,14,7.00,0,0,0,0,,0
8,8,2011-11-06,29-173,KAN,,MIA,L 3-31,*,20,39,51.28,253,0,0,71.8,6.49,6.49,9,38,4.22,0,0,0,0,,0
9,9,2011-11-13,29-180,KAN,,DEN,L 10-17,*,13,28,46.43,93,1,0,66.5,3.32,4.04,2,16,8.00,0,0,0,0,,0
,,9 Games,,,,,4-5-0,,160,269,59.48,1713,10,9,76.6,6.37,5.61,25,99,3.96,0,1,1,-4,-4.00,0
