
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,22-228,BAL,,PIT,W 35-7,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,22-235,BAL,@,TEN,L 13-26,,,,,,,,,,,,,,,,,,
3,3,2011-09-25,22-242,BAL,@,STL,W 37-7,8,5,152,30.40,3,1,10,10.00,0,0,0,,0,3,18,0.0,0,0
4,4,2011-10-02,22-249,BAL,,NYJ,W 34-17,6,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-16,22-263,BAL,,HOU,W 29-14,5,3,84,28.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-24,22-271,BAL,@,JAX,L 7-12,5,3,32,10.67,0,0,0,,0,0,0,,0,0,0,0.0,1,0
7,7,2011-10-30,22-277,BAL,,ARI,W 30-27,9,3,57,19.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,22-284,BAL,@,PIT,W 23-20,9,5,71,14.20,1,0,0,,0,0,0,,0,1,6,0.0,1,0
9,9,2011-11-13,22-291,BAL,@,SEA,L 17-22,8,3,28,9.33,0,1,16,16.00,0,1,24,24.00,0,0,0,0.0,0,0
10,10,2011-11-20,22-298,BAL,,CIN,W 31-24,7,6,165,27.50,1,0,0,,0,0,0,,0,1,6,0.0,0,0
11,11,2011-11-24,22-302,BAL,,SFO,W 16-6,3,2,23,11.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2011-12-04,22-312,BAL,@,CLE,W 24-10,4,1,32,32.00,0,1,-3,-3.00,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,22-319,BAL,,IND,W 24-10,9,5,48,9.60,1,1,16,16.00,0,0,0,,0,1,6,0.0,0,0
14,14,2011-12-18,22-326,BAL,@,SDG,L 14-34,7,6,77,12.83,1,0,0,,0,0,0,,0,1,6,0.0,0,0
15,15,2011-12-24,22-332,BAL,,CLE,W 20-14,7,2,38,19.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,22-340,BAL,@,CIN,W 24-16,7,5,33,6.60,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,95,50,841,16.82,7,4,39,9.75,0,1,24,24.00,0,7,42,0.0,2,0
