
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
5,Joe Flacco,28,QB,16,16,8-8-0,362,614,59.0,3912,19,3.1,22,3.6,74,6.4,5.4,10.8,244.5,73.1,46.7,48,324,5.42,4.50,7.3,2,4
2,Tyrod Taylor,24,,3,0,,1,5,20.0,2,0,0.0,1,20.0,2,0.4,-8.6,2.0,0.7,0.0,44.76,0,0,0.40,-8.60,0.0,,
,Team Total,26.3,,16,,8-8-0,363,619,58.6,3914,19,3.1,23,3.7,74,6.3,5.3,10.8,244.6,72.0,,48,324,5.38,4.40,7.2,2,4
,Opp Total,,,16,,,314,552,56.9,3938,25,4.5,16,2.9,,7.1,6.74,12.5,246.1,82.2,,40,257,6.2,5.8,6.8,,
