
No.,,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
5,Joe Flacco,27,QB,16,16,10-6-0,317,531,59.7,3817,22,4.1,10,1.9,61,7.2,7.2,12.0,238.6,87.7,46.34,35,227,6.34,6.33,6.2,4,4
2,Tyrod Taylor,23,,7,0,,17,29,58.6,179,0,0.0,1,3.4,25,6.2,4.6,10.5,25.6,62.3,46.69,3,30,4.66,3.25,9.4,,
,Team Total,26.5,,16,,10-6-0,334,560,59.6,3996,22,3.9,11,2.0,61,7.1,7.0,12.0,249.8,86.4,,38,257,6.25,6.16,6.4,4,4
,Opp Total,,,16,,,335,557,60.1,3900,15,2.7,13,2.3,,7.0,6.49,11.6,243.8,80.6,,37,250,6.1,5.7,6.2,,
