
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1,2013-09-08,26-012,OAK,@,IND,L 17-21,17,48,2.82,1,5,3,18,6.00,0,0,0,,0,0,0,,,,1,6
2,2,2013-09-15,26-019,OAK,,JAX,W 19-9,19,129,6.79,0,4,4,28,7.00,0,0,0,,0,0,0,,,,0,0
3,3,2013-09-23,26-027,OAK,@,DEN,L 21-37,12,9,0.75,1,1,0,0,,0,1,1,100.00,16,1,0,158.3,16.00,36.00,1,6
4,4,2013-09-29,26-033,OAK,,WAS,L 14-24,5,29,5.80,0,0,0,0,,0,0,0,,0,0,0,,,,0,0
5,6,2013-10-13,26-047,OAK,@,KAN,L 7-24,16,52,3.25,0,3,3,31,10.33,0,0,0,,0,0,0,,,,0,0
6,7,2013-10-27,26-061,OAK,,PIT,W 21-18,24,73,3.04,2,2,2,5,2.50,0,0,0,,0,0,0,,,,2,12
7,8,2013-11-03,26-068,OAK,,PHI,L 20-49,5,12,2.40,0,2,1,3,3.00,0,0,0,,0,0,0,,,,0,0
8,12,2013-11-28,26-093,OAK,@,DAL,L 24-31,5,13,2.60,0,1,0,0,,0,0,0,,0,0,0,,,,0,0
9,15,2013-12-22,26-117,OAK,@,SDG,L 13-26,4,8,2.00,1,3,1,8,8.00,0,0,0,,0,0,0,,,,1,6
10,16,2013-12-29,26-124,OAK,,DEN,L 14-34,7,6,0.86,0,4,3,15,5.00,0,0,0,,0,0,0,,,,0,0
,,10 Games,,,,,2-8-0,114,379,3.32,5,25,17,108,6.35,0,1,1,100.00,16,1,0,158.3,16.00,36.00,5,30
