
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,3,2013-09-23,28-095,OAK,@,DEN,L 21-37,,1,2,50.00,19,0,0,83.3,9.50,9.50,0,0,,0,0.0,0,0
2,4,2013-09-29,28-101,OAK,,WAS,L 14-24,*,21,32,65.63,227,1,1,83.7,7.09,6.31,3,4,1.33,0,0.0,0,0
3,11,2013-11-24,28-157,GNB,,MIN,T 26-26,,21,36,58.33,218,1,0,85.2,6.06,6.61,4,24,6.00,0,0.0,0,0
4,12,2013-11-28,28-161,GNB,@,DET,L 10-40,*,10,20,50.00,139,0,1,51.9,6.95,4.70,2,4,2.00,0,0.0,1,0
5,13,2013-12-08,28-171,GNB,,ATL,W 22-21,*,24,32,75.00,258,1,1,95.6,8.06,7.28,6,28,4.67,0,0.0,0,0
6,14,2013-12-15,28-178,GNB,@,DAL,W 37-36,*,26,39,66.67,299,4,1,113.1,7.67,8.56,3,-3,-1.00,0,0.0,0,0
7,15,2013-12-22,28-185,GNB,,PIT,L 31-38,*,21,39,53.85,232,1,1,69.6,5.95,5.31,2,8,4.00,0,0.0,0,0
,,7 Games,,,,,2-4-1,,124,200,62.00,1392,8,5,85.7,6.96,6.64,20,65,3.25,0,0.0,1,0
