
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,6,2011-10-16,30-121,OAK,,CLE,W 24-17,,8,14,57.14,100,0,0,79.5,7.14,7.14,5,9,1.80,0
2,7,2011-10-23,30-128,OAK,,KAN,L 0-28,*,7,14,50.00,61,0,3,22.3,4.36,-5.29,4,29,7.25,0
,,2 Games,,,,,1-1-0,,15,28,53.57,161,0,3,31.1,5.75,0.93,9,38,4.22,0
