
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-12,29-255,OAK,@,DEN,W 23-20,*,13,22,59.09,105,1,0,86.4,4.77,5.68,6,2,0.33,1,1,6
2,2,2011-09-18,29-261,OAK,@,BUF,L 35-38,*,23,33,69.70,323,2,1,108.5,9.79,9.64,3,3,1.00,1,1,6
3,3,2011-09-25,29-268,OAK,,NYJ,W 34-24,*,18,27,66.67,156,0,0,81.7,5.78,5.78,3,10,3.33,0,0,0
4,4,2011-10-02,29-275,OAK,,NWE,L 19-31,*,25,39,64.10,344,1,2,79.4,8.82,7.03,4,29,7.25,0,0,0
5,5,2011-10-09,29-282,OAK,@,HOU,W 25-20,*,15,35,42.86,190,2,1,67.6,5.43,5.29,0,0,,0,0,0
6,6,2011-10-16,29-289,OAK,,CLE,W 24-17,*,6,9,66.67,52,0,0,81.7,5.78,5.78,2,16,8.00,0,0,0
,,6 Games,,,,,4-2-0,,100,165,60.61,1170,6,4,84.2,7.09,6.73,18,60,3.33,2,2,12
