
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,24-273,OAK,@,IND,L 17-21,7,5,43,8.60,1,1,6,0.0,0,0
2,2,2013-09-15,24-280,OAK,,JAX,W 19-9,2,0,0,,0,0,0,0.0,0,0
3,3,2013-09-23,24-288,OAK,@,DEN,L 21-37,11,6,124,20.67,1,1,6,0.0,0,0
4,4,2013-09-29,24-294,OAK,,WAS,L 14-24,6,4,66,16.50,0,0,0,0.0,0,0
5,5,2013-10-06,24-301,OAK,,SDG,W 27-17,8,5,84,16.80,1,1,6,0.0,0,0
6,6,2013-10-13,24-308,OAK,@,KAN,L 7-24,10,5,82,16.40,1,1,6,0.0,0,0
7,7,2013-10-27,24-322,OAK,,PIT,W 21-18,4,2,32,16.00,0,0,0,0.0,1,0
8,8,2013-11-03,24-329,OAK,,PHI,L 20-49,11,5,82,16.40,0,0,0,0.0,0,0
9,9,2013-11-10,24-336,OAK,@,NYG,L 20-24,9,3,45,15.00,0,0,0,0.0,0,0
10,10,2013-11-17,24-343,OAK,@,HOU,W 28-23,6,2,11,5.50,1,1,6,0.0,0,0
11,14,2013-12-15,25-006,OAK,,KAN,L 31-56,2,2,46,23.00,0,0,0,0.0,0,0
12,15,2013-12-22,25-013,OAK,@,SDG,L 13-26,3,3,17,5.67,0,0,0,0.0,0,0
13,16,2013-12-29,25-020,OAK,,DEN,L 14-34,7,4,63,15.75,0,0,0,0.0,0,0
,,13 Games,,,,,4-9-0,86,46,695,15.11,5,5,30,0.0,1,0
