
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,7,2011-10-23,31-300,OAK,,KAN,L 0-28,,8,21,38.10,116,0,3,17.3,5.52,-0.90,0,0,,0,0,0,0.0,0,0
2,8,2011-11-06,31-314,OAK,,DEN,L 24-38,*,19,35,54.29,332,3,3,79.7,9.49,7.34,5,3,0.60,0,0,0,0.0,0,0
3,9,2011-11-10,31-318,OAK,@,SDG,W 24-17,*,14,20,70.00,299,2,1,125.0,14.95,14.70,3,-8,-2.67,0,0,0,0.0,0,0
4,10,2011-11-20,31-328,OAK,@,MIN,W 27-21,*,17,23,73.91,164,1,0,107.9,7.13,8.00,3,5,1.67,1,1,6,0.0,0,0
5,11,2011-11-27,31-335,OAK,,CHI,W 25-20,*,21,37,56.76,301,0,1,72.0,8.14,6.92,0,0,,0,0,0,0.0,0,0
6,12,2011-12-04,31-342,OAK,@,MIA,L 14-34,*,20,41,48.78,273,2,1,76.6,6.66,6.54,1,2,2.00,0,0,0,0.0,0,0
7,13,2011-12-11,31-349,OAK,@,GNB,L 16-46,*,24,42,57.14,247,1,4,42.6,5.88,2.07,2,12,6.00,0,0,0,0.0,1,0
8,14,2011-12-18,31-356,OAK,,DET,L 27-28,*,32,40,80.00,367,1,0,113.2,9.18,9.68,0,0,,0,0,0,0.0,0,0
9,15,2011-12-24,31-362,OAK,@,KAN,W 16-13,*,16,26,61.54,237,1,2,72.1,9.12,6.42,0,0,,0,0,0,0.0,0,0
10,16,2012-01-01,32-005,OAK,,SDG,L 26-38,*,28,43,65.12,417,2,1,102.6,9.70,9.58,2,6,3.00,0,0,0,0.0,0,0
,,10 Games,,,,,4-6-0,,199,328,60.67,2753,13,16,80.5,8.39,6.99,16,20,1.25,1,1,6,0.0,1,0
