
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,23-364,OAK,@,NYJ,L 14-19,4,3,31,10.33,0,0,0,0.0,0,0
2,2,2014-09-14,24-006,OAK,,HOU,L 14-30,7,5,31,6.20,0,0,0,0.0,0,0
3,3,2014-09-21,24-013,OAK,@,NWE,L 9-16,4,2,11,5.50,0,0,0,0.0,0,0
4,4,2014-09-28,24-020,OAK,,MIA,L 14-38,4,2,10,5.00,0,0,0,0.0,0,0
5,5,2014-10-12,24-034,OAK,,SDG,L 28-31,3,0,0,,0,0,0,0.0,0,0
6,6,2014-10-19,24-041,OAK,,ARI,L 13-24,1,1,18,18.00,0,0,0,0.0,0,0
7,7,2014-10-26,24-048,OAK,@,CLE,L 13-23,9,7,83,11.86,0,0,0,0.0,1,0
8,8,2014-11-02,24-055,OAK,@,SEA,L 24-30,11,8,38,4.75,2,2,12,0.0,0,0
9,9,2014-11-09,24-062,OAK,,DEN,L 17-41,8,6,64,10.67,1,1,6,0.0,1,0
10,10,2014-11-16,24-069,OAK,@,SDG,L 6-13,5,3,40,13.33,0,0,0,0.0,0,0
11,11,2014-11-20,24-073,OAK,,KAN,W 24-20,4,1,8,8.00,0,0,0,0.0,0,0
12,12,2014-11-30,24-083,OAK,@,STL,L 0-52,8,3,21,7.00,0,0,0,0.0,0,0
13,13,2014-12-07,24-090,OAK,,SFO,W 24-13,7,7,109,15.57,1,1,6,0.0,0,0
14,14,2014-12-14,24-097,OAK,@,KAN,L 13-31,12,7,39,5.57,0,0,0,0.0,0,0
15,15,2014-12-21,24-104,OAK,,BUF,W 26-24,4,1,5,5.00,0,0,0,0.0,0,0
16,16,2014-12-28,24-111,OAK,@,DEN,L 14-47,8,2,26,13.00,0,0,0,0.0,0,0
,,16 Games,,,,,3-13-0,99,58,534,9.21,4,4,24,0.0,2,0
