
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-035,DET,,MIN,W 34-24,6,25,4.17,2,6,5,67,13.40,0,0,0,,0,,2,12,0.0,0,0
2,2,2013-09-15,27-042,DET,@,ARI,L 21-25,8,31,3.88,0,8,5,41,8.20,0,0,0,,0,,0,0,0.0,0,0
3,3,2013-09-22,27-049,DET,@,WAS,W 27-20,20,63,3.15,1,5,4,69,17.25,0,0,0,,0,,1,6,0.0,0,0
4,4,2013-09-29,27-056,DET,,CHI,W 40-32,7,12,1.71,0,4,4,30,7.50,0,0,0,,0,,0,0,0.0,2,0
5,5,2013-10-06,27-063,DET,@,GNB,L 9-22,5,21,4.20,0,4,4,30,7.50,0,0,0,,0,,0,0,0.0,0,0
6,6,2013-10-13,27-070,DET,@,CLE,W 31-17,7,25,3.57,0,2,1,8,8.00,0,0,0,,0,,0,0,0.0,0,0
7,7,2013-10-20,27-077,DET,,CIN,L 24-27,5,27,5.40,0,4,3,29,9.67,0,0,0,,0,,0,0,0.0,0,0
8,8,2013-10-27,27-084,DET,,DAL,W 31-30,4,32,8.00,1,1,1,22,22.00,0,0,0,,0,,1,6,0.0,1,0
9,9,2013-11-10,27-098,DET,@,CHI,W 21-19,10,41,4.10,0,1,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,10,2013-11-17,27-105,DET,@,PIT,L 27-37,9,49,5.44,1,4,3,48,16.00,0,0,0,,0,,1,6,0.0,0,0
11,11,2013-11-24,27-112,DET,,TAM,L 21-24,6,15,2.50,0,3,1,0,0.00,0,0,0,,0,,0,0,0.0,1,0
12,12,2013-11-28,27-116,DET,,GNB,W 40-10,19,94,4.95,1,4,3,34,11.33,0,0,0,,0,,1,6,0.0,0,0
13,13,2013-12-08,27-126,DET,@,PHI,L 20-34,23,69,3.00,1,7,4,58,14.50,0,0,0,,0,1,1,8,0.0,1,0
14,14,2013-12-16,27-134,DET,,BAL,L 16-18,9,24,2.67,0,2,1,23,23.00,0,0,0,,0,,0,0,0.0,1,0
15,15,2013-12-22,27-140,DET,,NYG,L 20-23,20,91,4.55,1,10,10,63,6.30,0,1,4,4.00,0,,1,6,0.0,0,0
16,16,2013-12-29,27-147,DET,@,MIN,L 13-14,8,31,3.88,0,4,4,25,6.25,0,0,0,,0,,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,166,650,3.92,8,69,53,547,10.32,0,1,4,4.00,0,1,8,50,0.0,6,0
