
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,26-213,DET,,NYG,W 35-14,*,22,32,68.75,346,2,0,125.3,10.81,12.06,4,2,0.50,1,1,6,0.0,0,0
2,2,2014-09-14,26-219,DET,@,CAR,L 7-24,*,27,48,56.25,291,1,1,72.5,6.06,5.54,1,8,8.00,0,0,0,0.0,0,0
3,3,2014-09-21,26-226,DET,,GNB,W 19-7,*,22,34,64.71,246,0,2,61.6,7.24,4.59,6,8,1.33,0,0,0,0.0,1,0
4,4,2014-09-28,26-233,DET,@,NYJ,W 24-17,*,24,34,70.59,293,2,0,116.4,8.62,9.79,6,8,1.33,1,1,6,0.0,0,0
5,5,2014-10-05,26-240,DET,,BUF,L 14-17,*,18,31,58.06,231,1,1,78.8,7.45,6.65,3,8,2.67,0,0,0,0.0,0,0
6,6,2014-10-12,26-247,DET,@,MIN,W 17-3,*,19,33,57.58,185,1,0,83.5,5.61,6.21,1,1,1.00,0,0,0,0.0,0,0
7,7,2014-10-19,26-254,DET,,NOR,W 24-23,*,27,40,67.50,299,2,2,85.3,7.48,6.23,2,1,0.50,0,0,0,0.0,1,0
8,8,2014-10-26,26-261,DET,@,ATL,W 22-21,*,24,47,51.06,325,2,1,78.8,6.91,6.81,3,9,3.00,0,0,0,0.0,0,0
9,9,2014-11-09,26-275,DET,,MIA,W 20-16,*,25,40,62.50,280,2,1,89.6,7.00,6.88,2,-1,-0.50,0,0,0,0.0,0,0
10,10,2014-11-16,26-282,DET,@,ARI,L 6-14,*,18,30,60.00,183,0,1,63.6,6.10,4.60,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,26-289,DET,@,NWE,L 9-34,*,18,46,39.13,264,0,1,49.5,5.74,4.76,3,18,6.00,0,0,0,0.0,0,0
12,12,2014-11-27,26-293,DET,,CHI,W 34-17,*,34,45,75.56,390,2,0,116.0,8.67,9.56,0,0,,0,0,0,0.0,1,0
13,13,2014-12-07,26-303,DET,,TAM,W 34-17,*,26,34,76.47,311,3,0,133.3,9.15,10.91,3,-2,-0.67,0,0,0,0.0,0,0
14,14,2014-12-14,26-310,DET,,MIN,W 16-14,*,17,28,60.71,153,1,0,87.4,5.46,6.18,1,2,2.00,0,0,0,0.0,0,0
15,15,2014-12-21,26-317,DET,@,CHI,W 20-14,*,22,39,56.41,243,0,2,53.7,6.23,3.92,4,2,0.50,0,0,0,0.0,0,0
16,16,2014-12-28,26-324,DET,@,GNB,L 20-30,*,20,41,48.78,217,3,0,89.2,5.29,6.76,4,29,7.25,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,,363,602,60.30,4257,22,12,85.7,7.07,6.91,43,93,2.16,2,2,12,0.0,3,0
