
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-348,DET,,MIN,W 34-24,9,4,37,9.25,0,0,0,0.0,0,0
2,2,2013-09-15,27-355,DET,@,ARI,L 21-25,8,6,116,19.33,2,2,12,0.0,0,0
3,3,2013-09-22,27-362,DET,@,WAS,W 27-20,13,7,115,16.43,1,1,6,0.0,0,0
4,4,2013-09-29,28-004,DET,,CHI,W 40-32,10,4,44,11.00,1,1,6,0.0,0,0
5,6,2013-10-13,28-018,DET,@,CLE,W 31-17,8,3,25,8.33,0,0,0,0.0,0,0
6,7,2013-10-20,28-025,DET,,CIN,L 24-27,15,9,155,17.22,2,2,12,0.0,0,0
7,8,2013-10-27,28-032,DET,,DAL,W 31-30,16,14,329,23.50,1,1,6,0.0,0,0
8,9,2013-11-10,28-046,DET,@,CHI,W 21-19,17,6,83,13.83,2,2,12,0.0,0,0
9,10,2013-11-17,28-053,DET,@,PIT,L 27-37,13,6,179,29.83,2,2,12,0.0,0,0
10,11,2013-11-24,28-060,DET,,TAM,L 21-24,14,7,115,16.43,0,0,0,0.0,0,0
11,12,2013-11-28,28-064,DET,,GNB,W 40-10,10,6,101,16.83,1,1,6,0.0,0,0
12,13,2013-12-08,28-074,DET,@,PHI,L 20-34,5,3,52,17.33,0,0,0,0.0,0,0
13,14,2013-12-16,28-082,DET,,BAL,L 16-18,14,6,98,16.33,0,0,0,0.0,1,0
14,15,2013-12-22,28-088,DET,,NYG,L 20-23,4,3,43,14.33,0,0,0,0.0,0,0
,,14 Games,,,,,7-7-0,156,84,1492,17.76,12,12,72,0.0,1,0
